Textbox8,tbToday,Textbox2
Instrument Location Counts,Report Generated: 9/28/2012,Total Instruments (771)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeType,LNode_NodeSequence,InstrumentCount
GA05MOAS-GL002,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),002,3
GA05MOAS-GL003,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),003,3
GI01SUMO-RI002,Irminger Sea Surface Mooring,01,SUMO,RI (Mooring Riser),002,4
GI01SUMO-RI003,Irminger Sea Surface Mooring,01,SUMO,RI (Mooring Riser),003,14
GI01SUMO-SB001,Irminger Sea Surface Mooring,01,SUMO,SB (Surface Buoy),001,5
GI02HYPM-SP001,Irminger Sea Hybrid Profiler,02,HYPM,SP (Surface-Piercing Profiler),001,7
GI02HYPM-WF002,Irminger Sea Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),002,4
GI03FLMA-RI001,Irminger Sea Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,16
GI03FLMB-RI001,Irminger Sea Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,16
GI05MOAS-GL001,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),001,3
GI05MOAS-GL002,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),002,3
GI05MOAS-GL003,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),003,3
GP02HYPM-SP001,Station Papa Hybrid Profiler,02,HYPM,SP (Surface-Piercing Profiler),001,7
GP02HYPM-WF002,Station Papa Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),002,4
GP03FLMA-RI001,Station Papa Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,16
GP03FLMB-RI001,Station Papa Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,16
GP05MOAS-GL001,Station Papa Mobile Assets,05,MOAS,GL (Gliders),001,3
GP05MOAS-GL002,Station Papa Mobile Assets,05,MOAS,GL (Gliders),002,3
GP05MOAS-GL003,Station Papa Mobile Assets,05,MOAS,GL (Gliders),003,3
GS01SUMO-RI002,Southern Ocean Surface Mooring,01,SUMO,RI (Mooring Riser),002,4
GS01SUMO-RI003,Southern Ocean Surface Mooring,01,SUMO,RI (Mooring Riser),003,14
GS01SUMO-SB001,Southern Ocean Surface Mooring,01,SUMO,SB (Surface Buoy),001,5
GS02HYPM-SP001,Southern Ocean Hybrid Profiler,02,HYPM,SP (Surface-Piercing Profiler),001,7
