Textbox8,tbToday,Textbox2
All Instrument Types By Location,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LocationCode,SubsiteName,SiteNumber,SiteCode,NodeTypeName,NodeSequence,SensorInstrumentName,SensorInstrumentClass,SensorCount
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,oxygen_dissolved_stable,DOSTA,1
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,pH_stable,PHSEN,1
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,Velocity_point,VELPT,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,Velocity_Profile_Short_Range,ADCPT,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,Fluorometer_three_wavelength,FLORT,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,nutrient_Nitrate,NUTNR,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,attenuation_absorption_optical,OPTAA,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,spectral_irradiance,SPKIR,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,flux_direct_cov_HP,FDCHP,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,Meteorology_bulk,METBK,2
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,pCO2_air-sea,PCO2A,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,Velocity_point,VELPT,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,wave_spectra_surface,WAVSS,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,velocity_profile_mobile_asset,ADCPA,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,CTD_glider,CTDGV,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,oxygen_dissolved_stable,DOSTA,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,Fluorometer_three_wavelength,FLORT,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,PAR,PARAD,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,velocity_profile_mobile_asset,ADCPA,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,CTD_glider,CTDGV,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,oxygen_dissolved_stable,DOSTA,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,Fluorometer_three_wavelength,FLORT,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,PAR,PARAD,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,velocity_profile_mobile_asset,ADCPA,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,CTD_glider,CTDGV,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,oxygen_dissolved_stable,DOSTA,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,Fluorometer_three_wavelength,FLORT,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,PAR,PARAD,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,velocity_profile_mobile_asset,ADCPA,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,CTD_glider,CTDGV,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,oxygen_dissolved_stable,DOSTA,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,Fluorometer_three_wavelength,FLORT,1
CE05MOAS-GL004,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,PAR,PARAD,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,velocity_profile_mobile_asset,ADCPA,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,CTD_glider,CTDGV,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,oxygen_dissolved_stable,DOSTA,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,Fluorometer_three_wavelength,FLORT,1
CE05MOAS-GL005,Endurance Mobile Assets,05,MOAS,GL (Gliders),005,PAR,PARAD,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,velocity_profile_mobile_asset,ADCPA,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,CTD_glider,CTDGV,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,oxygen_dissolved_stable,DOSTA,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,Fluorometer_three_wavelength,FLORT,1
CE05MOAS-GL006,Endurance Mobile Assets,05,MOAS,GL (Gliders),006,PAR,PARAD,1
CE06ISSM-MF004,Endurance WA Inshore Surface Mooring ,06,ISSM,MF (Multi-Function Node),004,Velocity_Profile_Short_Range,ADCPT,1
