Textbox8,tbToday,Textbox2
Reference Designators,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,SubsiteName,SitePrefix,SiteSuffix,Textbox11,NodeSiteSequence,PortNumber,InstrumentClass,InstrumentSeries,InstrumentSequence,PortMinDepth,PortMaxDepth
CE02SHSP-SP001-01-DOFST0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,01,DOFST,0,999,80,80
CE02SHSP-SP001-02-VEL3D0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,02,VEL3D,0,999,80,80
CE02SHSP-SP001-03-PCO2W0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,03,PCO2W,0,999,80,80
CE02SHSP-SP001-04-OPTAA0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,04,OPTAA,0,999,80,80
CE02SHSP-SP001-05-NUTNR0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,05,NUTNR,0,999,80,80
CE02SHSP-SP001-06-SPKIR0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,06,SPKIR,0,999,80,80
CE02SHSP-SP001-07-FLORT0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,07,FLORT,0,999,80,80
CE02SHSP-SP001-08-PARAD0999,Endurance OR Shelf Surface Piercing Profiler Mooring,02,SHSP,SP (Surface-Piercing Profiler / Shallow Profiler),001,08,PARAD,0,999,80,80
CE04OSBP-BP001-01-ADCPS0999,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,01,ADCPS,0,999,500,500
CE04OSBP-BP001-02-CTDBP0999,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,02,CTDBP,0,999,500,500
CE04OSBP-BP001-03-DOSTA0999,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,03,DOSTA,0,999,500,500
CE04OSBP-BP001-04-OPTAA0999,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,04,OPTAA,0,999,500,500
CE04OSBP-BP001-05-PCO2W0999,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,05,PCO2W,0,999,500,500
CE04OSBP-BP001-06-PRESF0999,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,06,PRESF,0,999,500,500
CE04OSBP-BP001-07-VEL3D0999,Endurance OR Offshore Benthic Pkg,04,OSBP,BP (Benthic Package),001,07,VEL3D,0,999,500,500
CE04OSBP-LJ01C-07-HYDBBA105,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,07,HYDBB,A,105,500,500
CE04OSBP-LJ01C-08-CAMDSA106,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,08,CAMDS,A,106,500,500
CE04OSHY-DP01B-05-CTDPFA105,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,05,CTDPF,A,105,500,500
CE04OSHY-DP01B-05-DOFSTA105,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,05,DOFST,A,105,500,500
CE04OSHY-DP01B-04-VEL3DA105,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,04,VEL3D,A,105,500,500
CE04OSHY-DP01B-01-FLORTA103,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,01,FLORT,A,103,500,500
CE04OSHY-FJ01B-02-PCO2WA105,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,FJ (200 m Platform),01B,02,PCO2W,A,105,200,200
CE04OSHY-FJ01B-04-ZPLSCA102,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,FJ (200 m Platform),01B,04,ZPLSC,A,102,200,200
CE04OSHY-FJ01B-03-PHSENA106,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,FJ (200 m Platform),01B,03,PHSEN,A,106,200,200
CE04OSHY-SP01B-08-CTDPFA107,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,08,CTDPF,A,107,200,200
CE04OSHY-SP01B-08-DOFSTA101,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,08,DOFST,A,101,200,200
CE04OSHY-SP01B-09-OPTAAA105,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,09,OPTAA,A,105,200,200
CE04OSHY-SP01B-02-VEL3DA106,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,02,VEL3D,A,106,200,200
CE04OSHY-SP01B-04-NUTNRA102,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,04,NUTNR,A,102,200,200
CE04OSHY-SP01B-07-SPKIRA102,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,07,SPKIR,A,102,200,200
