Textbox8,tbToday,Textbox2
All Instrument Location Counts,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LocationCode,SiteName,SiteNumber,SiteCode,NodeType,Sequence,InstrumentCount
CP05MOAS-GL003,Pioneer Mobile Assets,05,MOAS,GL (Gliders),003,5
CP05MOAS-GL004,Pioneer Mobile Assets,05,MOAS,GL (Gliders),004,5
CP05MOAS-GL005,Pioneer Mobile Assets,05,MOAS,GL (Gliders),005,5
CP05MOAS-GL006,Pioneer Mobile Assets,05,MOAS,GL (Gliders),006,5
GA01SUMO-RI002,Argentine Basin Surface Mooring,01,SUMO,RI (Mooring Riser),002,4
GA01SUMO-RI003,Argentine Basin Surface Mooring,01,SUMO,RI (Mooring Riser),003,14
GA01SUMO-SB001,Argentine Basin Surface Mooring,01,SUMO,SB (Surface Buoy),001,5
GA02HYPM-MP003,Argentine Basin Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
GA02HYPM-SP001,Argentine Basin Hybrid Profiler,02,HYPM,SP (Surface-Piercing Profiler / Shallow Profiler),001,7
GA02HYPM-WF002,Argentine Basin Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),002,4
GA03FLMA-RI001,Argentine Basin Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,16
GA03FLMB-RI001,Argentine Basin Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,16
GA05MOAS-GL001,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),001,3
GA05MOAS-GL002,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),002,3
GA05MOAS-GL003,Argentine Basin Mobile Assets,05,MOAS,GL (Gliders),003,3
GI01SUMO-RI002,Irminger Sea Surface Mooring,01,SUMO,RI (Mooring Riser),002,4
GI01SUMO-RI003,Irminger Sea Surface Mooring,01,SUMO,RI (Mooring Riser),003,14
GI01SUMO-SB001,Irminger Sea Surface Mooring,01,SUMO,SB (Surface Buoy),001,5
GI02HYPM-MP003,Irminger Sea Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
GI02HYPM-SP001,Irminger Sea Hybrid Profiler,02,HYPM,SP (Surface-Piercing Profiler / Shallow Profiler),001,7
GI02HYPM-WF002,Irminger Sea Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),002,4
GI03FLMA-RI001,Irminger Sea Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,16
GI03FLMB-RI001,Irminger Sea Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,16
GI05MOAS-GL001,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),001,3
GI05MOAS-GL002,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),002,3
GI05MOAS-GL003,Irminger Sea Mobile Assets,05,MOAS,GL (Gliders),003,3
GP02HYPM-MP003,Station Papa Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
GP02HYPM-SP001,Station Papa Hybrid Profiler,02,HYPM,SP (Surface-Piercing Profiler / Shallow Profiler),001,7
GP02HYPM-WF002,Station Papa Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),002,4
GP03FLMA-RI001,Station Papa Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,16
GP03FLMB-RI001,Station Papa Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,16
GP05MOAS-GL001,Station Papa Mobile Assets,05,MOAS,GL (Gliders),001,3
GP05MOAS-GL002,Station Papa Mobile Assets,05,MOAS,GL (Gliders),002,3
GP05MOAS-GL003,Station Papa Mobile Assets,05,MOAS,GL (Gliders),003,3
GS01SUMO-RI002,Southern Ocean Surface Mooring,01,SUMO,RI (Mooring Riser),002,4
GS01SUMO-RI003,Southern Ocean Surface Mooring,01,SUMO,RI (Mooring Riser),003,14
GS01SUMO-SB001,Southern Ocean Surface Mooring,01,SUMO,SB (Surface Buoy),001,5
GS02HYPM-MP003,Southern Ocean Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
GS02HYPM-SP001,Southern Ocean Hybrid Profiler,02,HYPM,SP (Surface-Piercing Profiler / Shallow Profiler),001,7
GS02HYPM-WF002,Southern Ocean Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),002,4
GS03FLMA-RI001,Southern Ocean Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,16
GS03FLMB-RI001,Southern Ocean Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,16
GS05MOAS-GL001,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),001,3
GS05MOAS-GL002,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),002,3
GS05MOAS-GL003,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),003,3
RS01HRBS-MJ01A,Hydrate Base,01,HRBS,MJ (MP Jbox),01A,4
