__pk_ResourceAttribute_ID,Information Level,_fk_ObjectType_ID,_fk_ResourceType_ID,Base Attribute,CI ID,Default Widget ID,Description,Name
"2012836","","2480184","2190082","","2013396","2130023","measurement of device size orthogonal to length and width (typically from bottom to top as mounted or resting) in meters","height"
"2010074","0","2480187","2190012","","2010074","2130023","","hotel_current"
"2010001","0","2480187","2190011","2010688","","2130023","unique ID","_id"
"2010651","0","2480187","2190014","2010688","","2130023","unique ID","_id"
"2010688","0","2480187","2190009","","2010688","2130023","unique ID","_id"
"2010707","0","2480187","2190010","2010688","","2130023","unique ID","_id"
"2010724","0","2480187","2190071","2010688","","2130023","unique ID","_id"
"2010780","0","2480187","2190045","2010688","","2130023","unique ID","_id"
"2010799","0","2480187","2190059","2010688","","2130023","unique ID","_id"
"2010895","0","2480187","2190012","2010688","","2130023","unique ID","_id"
"2010913","0","2480187","2190015","2010688","","2130023","unique ID","_id"
"2010931","0","2480187","2190016","2010688","","2130023","unique ID","_id"
"2010983","0","2480187","2190022","2010688","","2130023","unique ID","_id"
"2011000","0","2480187","2190025","2010688","","2130023","unique ID","_id"
"2011071","0","2480187","2190029","2010688","","2130023","unique ID","_id"
"2011104","0","2480187","2190032","2010688","","2130023","unique ID","_id"
"2011156","0","2480187","2190038","2010688","","2130023","unique ID","_id"
"2011245","0","2480187","2190043","2010688","","2130023","unique ID","_id"
"2011262","0","2480187","2190044","2010688","","2130023","unique ID","_id"
"2011295","0","2480187","2190058","2010688","","2130023","unique ID","_id"
"2011348","0","2480187","2190062","2010688","","2130023","unique ID","_id"
"2011510","0","2480187","2190073","2010688","","2130023","unique ID","_id"
"2011600","0","2480187","2190078","2010688","","2130023","unique ID","_id"
"2011636","0","2480187","2190080","2010688","","2130023","unique ID","_id"
"2011672","0","2480187","2190082","2010688","","2130023","unique ID","_id"
"2011780","0","2480187","2190092","2010688","","2130023","unique ID","_id"
"2011834","0","2480187","2190100","2010688","","2130023","unique ID","_id"
"2011870","0","2480187","2190102","2010688","","2130023","unique ID","_id"
"2011896","0","2480187","2190084","2010688","","2130023","unique ID","_id"
"2011922","0","2480187","2190094","2010688","","2130023","unique ID","_id"
"2011948","0","2480187","2190097","2010688","","2130023","unique ID","_id"
"2011966","0","2480187","2190090","2010688","","2130023","unique ID","_id"
"2011983","0","2480187","2190020","2010688","","2130023","unique ID","_id"
"2012060","0","2480187","2190110","2010688","","2130023","unique ID","_id"
"2012078","0","2480187","2190112","2010688","","2130023","unique ID","_id"
"2012096","0","2480187","2190134","2010688","","2130023","unique ID","_id"
"2012114","0","2480187","2190108","2010688","","2130023","unique ID","_id"
"2012186","0","2480187","2190130","2010688","","2130023","unique ID","_id"
