__pk_ScreenLabel_ID,Abbreviation,Description,Name,Text
"2090362","","","Entity Constraint","Entity Constraint"
"2090306","","","Estimated Local Data","Estimated Local Data"
"2090351","","","Event List","Event List"
"2090138","","","Event Publisher Origin","Event Publisher Origin"
"2090099","","","Events","Events"
"2090338","","","Exchange Type","Exchange Type"
"2090469","","","Exclusive Rights Contact","Exclusive Rights Contact"
"2090468","","","Exclusive Rights End","Exclusive Rights End"
"2090470","","","Exclusive Rights Notes","Exclusive Rights Notes"
"2090467","","","Exclusive Rights Status","Exclusive Rights Status"
"2090413","","","Execution Engine","Execution Engine"
"2090457","","","Facebook","Facebook"
"2090090","","","Facepage","Facepage"
"2090331","","","File Location","File Location"
"2090020","","","Firmware Version","Firmware Version"
"2090446","","","First","First"
"2090480","","","Format","Format"
"2090101","","","Frames of Reference","Frames of Reference"
"2090150","","","Function Definition","Function Definition"
"2090402","","","Geospatial Attitude","Geospatial Attitude"
"2090471","","","Geospatial Bounds","Geospatial Bounds"
"2090364","","","Geospatial Constraint","Geospatial Constraint"
"2090273","","","GPS Systems","GPS Systems"
"2090518","","","Home Institution","Home Institution"
"2090456","","","Home Page","Home Page"
"2090284","","","Host Name","Host Name"
"2090068","","","Hot Start Sample Time","Hot Start Sample Time"
"2090076","","","Hotel Current","Hotel Current"
"2090003","","","ID","ID"
"2090552","","","Identification","Identification"
"2090519","","","Identity Information","Identity Information"
"2090458","","","IM","IM"
"2090303","","","Implementation Type","Implementation Type"
"2090302","","","Implementation Version ","Implementation Version "
"2090148","","","In Effect Since","In Effect Since"
"2090046","","","In-Line Management","In-Line Management"
"2090093","","","Information","Information"
"2090260","","","Initiated By","Initiated By"
"2090077","","","Inrush Current","Inrush Current"
"2090078","","","Inrush Current Duration","Inrush Current Duration"
"2090341","","","Institution ","Institution "
"2090129","","","Instrument Agent","Instrument Agent"
"2090035","","","Instrument Classes Supported","Instrument Classes Supported"
"2090034","","","Instrument Family","Instrument Family"
"2090264","","","Instruments","Instruments"
"2090490","","","Instruments Deployed","Instruments Deployed"
"2090491","","","Instruments Not Deployed","Instruments Not Deployed"
"2090305","","","Instruments Not Deployed by Type","Instruments Not Deployed by Type"
"2090314","","","Instruments Not Operational","Instruments Not Operational"
"2090315","","","Instruments Operational","Instruments Operational"
"2090079","","","Integrated Inductive Modem","Integrated Inductive Modem"
"2090080","","","Internal Battery","Internal Battery"
"2090081","","","Internal Battery Type","Internal Battery Type"
"2090062","","","Internal Data Storage","Internal Data Storage"
"2090474","","","Invariant URL","Invariant URL"
"2090408","","","ION Onboard","ION Onboard"
"2090435","","","IOOS Category","IOOS Category"
"2090463","","","ISO Spactial Representation","ISO Spactial Representation"
"2090434","","","ISO Topic Category","ISO Topic Category"
"2090433","","","Keywords","Keywords"
"2090447","","","Last","Last"
"2090430","","","Last Command","Last Command"
"2090429","","","Last Commanded","Last Commanded"
"2090431","","","Last Commanded By","Last Commanded By"
"2090122","","","Last Data Recieved","Last Data Recieved"
"2090388","","","Last Event","Last Event"
"2090014","","","Last Event ID","Last Event ID"
"2090558","","","Last Log Out","Last Log Out"
"2090536","","","Last Page Viewed","Last Page Viewed"
"2090343","","","Last Signature","Last Signature"
"2090103","","","Latest Readings","Latest Readings"
"2090567","","","License Information","License Information"
"2090465","","","License URI","License URI"
"2090464","","","License","License"
"2090006","","","Lifecycle State","Lifecycle State"
"2090533","","","Light","Light"
"2090311","","","List Operators Online","List Operators Online"
"2090027","","","Location","Location"
"2090445","","","Location Details","Location Details"
"2090117","","","Logs","Logs"
"2090023","","","Lot Number","Lot Number"
"2090325","","","Mail Address","Mail Address"
"2090110","","","Management","Management"
"2090128","","","Manuals","Manuals"
"2090357","","","Manufacture Date","Manufacture Date"
"2090022","","","Manufactured","Manufactured"
"2090032","","","Manufacturer","Manufacturer"
"2090564","","","Manufacturer's Model","Manufacturer's Model"
"2090563","","","Manufacturer's Name","Manufacturer's Name"
"2090565","","","Manufacturer's Serial Number","Manufacturer's Serial Number"
"2090127","","","Manufacturer's Site","Manufacturer's Site"
"2090549","","","Map","Map"
"2090057","","","Materials","Materials"
"2090409","","","Maximum Crew","Maximum Crew"
"2090074","","","Maximum Survival Current","Maximum Survival Current"
"2090073","","","Maximum Survival Voltage","Maximum Survival Voltage"
"2090017","","","Message Controllable","Message Controllable"
"2090387","","","Messages","Messages"
"2090448","","","Middle","Middle"
"2090149","","","Mime Type","Mime Type"
"2090561","","","Miunimum On-Time","Miunimum On-Time"
"2090045","","","Mixed Sampling Mode","Mixed Sampling Mode"
"2090019","","","Model","Model"
"2090031","","","Model Label","Model Label"
"2090008","","","Modified","Modified"
"2090016","","","Monitorable","Monitorable"
"2090500","","","More Information","More Information"
"2090506","","","My Collections","My Collections"
"2090505","","","My Resources","My Resources"
"2090004","","","Name","Name"
"2090141","","","Name (Policy)","Name (Policy)"
"2090009","","","Naming Authority","Naming Authority"
"2090121","","","Next Data Expected","Next Data Expected"
"2090389","","","NO LABEL","NO LABEL"
"2090291","","","Nominal Benthic Altitude","Nominal Benthic Altitude"
"2090290","","","Nominal Benthic Altitude Accuracy","Nominal Benthic Altitude Accuracy"
"2090293","","","Nominal Depth","Nominal Depth"
"2090292","","","Nominal Depth Accuracy","Nominal Depth Accuracy"
"2090297","","","Nominal Latitude","Nominal Latitude"
"2090296","","","Nominal Latitude Accuracy","Nominal Latitude Accuracy"
"2090401","","","Nominal Location","Nominal Location"
"2090295","","","Nominal Longitude","Nominal Longitude"
"2090294","","","Nominal Longitude Accuracy","Nominal Longitude Accuracy"
"2090350","","","Notification Channel","Notification Channel"
"2090521","","","Notification Settings","Notification Settings"
"2090524","","","Notify me by email about:","Notify me by email about:"
"2090319","","","Number Contract Clauses","Number Contract Clauses"
"2090310","","","Number Data Sets","Number of Data Sets"
"2090309","","","Number Data Sets Active","Number Data Sets Active"
"2090316","","","Number Instruments Deployed","Number Instruments Deployed"
"2090323","","","Number Members","Number Members"
"2090322","","","Number Members Online","Number Members Online"
"2090321","","","Number Members Online by Role","Number Members Online by Role"
"2090011","","","Number of Associations","Number of Associations"
"2090013","","","Number of Events","Number of Events"
"2090012","","","Number of User Comments","Number of User Comments"
"2090320","","","Number Org Roles","Number Org Roles"
"2090312","","","Number Platforms Deployed","Number of Platforms Deployed"
"2090483","","","Observatory","Observatory"
"2090527","","","Ocean Leadership news","Ocean Leadership news"
"2090266","","","OOI Node Type","OOI Node Type"
"2090526","","","OOI Project updates","OOI Project updates"
"2090504","","","OOI Resources","OOI Resources"
"2090525","","","OOI System change information","OOI System change information"
"2090259","","","Open Tickets","Open Tickets"
"2090058","","","Operational Depth Max","Operational Depth Max"
"2090560","","","Operational Pressure Range","Operational Pressure Range"
"2090018","","","Operational State","Operational State"
"2090060","","","Operational Temperature Range","Operational Temperature Range"
"2090528","","","Opportunities to participate in the User Experience Improvement Program","Opportunities to participate in the User Experience Improvement Program"
"2090028","","","Orientation","Orientation"
"2090286","","","Orientation Description","Orientation Description"
"2090369","","","Original","Original"
"2090089","","","Other","Other"
"2090557","","","Other Information","Other Information"
"2090416","","","Owner","Owner"
"2090494","","","Participants","Participants"
"2090517","","","Personal Security Information","Personal Security Information"
"2090411","","","Phone","Phone"
"2090116","","","Photos","Photos"
"2090326","","","Physical Address","Physical Address"
"2090100","","","Planned Events","Planned Events"
"2090112","","","Platform","Platform"
"2090487","","","Platforms","Platforms"
"2090493","","","Platforms Deployed","Platforms Deployed"
"2090492","","","Platforms Not Deployed","Platforms Not Deployed"
"2090147","","","Policies","Policies"
"2090424","","","Policy In Effect","Policy In Effect"
"2090425","","","Policy Rule","Policy Rule"
"2090143","","","Policy Type","Policy Type"
"2090261","","","Port Used","Port Used"
"2090270","","","Ports","Ports"
"2090262","","","Position on Platform","Position on Platform"
"2090454","","","Postal Code","Postal Code"
"2090146","","","Power","Power"
"2090271","","","Power Consumption","Power Consumption"
"2090442","","","Power Details","Power Details"
"2090562","","","Power Requirements","Power Requirements"
"2090069","","","Power Source","Power Source"
"2090392","","","Power Supply Current (max)","Power Supply Current (max)"
"2090393","","","Power Supply Current Operational (avg.)","Power Supply Current Operational (avg.)"
"2090394","","","Power Supply Current Standby","Power Supply Current Standby"
"2090395","","","Power Supply Voltage","Power Supply Voltage"
"2090396","","","Power Supply Voltage Range","Power Supply Voltage Range"
"2090523","","","Preferences","Preferences"
"2090530","","","Primary Email","Primary Email"
"2090037","","","Primary Interface","Primary Interface"
"2090349","","","Principal Type","Principal Type"
"2090522","","","Privelege","Privelege"
"2090559","","","Producer","Producer"
"2090437","","","Product Level","Product Level"
"2090412","","","Profile","Profile"
"2090466","","","Project","Project"
"2090555","","","Project Information","Project Information"
"2090113","","","Project Schedule","Project Schedule"
"2090115","","","Project Site","Project Site"
"2090486","","","Propulsion","Propulsion"
"2090256","","","Protocol","Protocol"
"2090488","","","QC Flags","QC Flags"
"2090257","","","QC Level","QC Level"
"2090379","","","Query","Query"
"2090333","","","Query Fields","Query Fields"
"2090087","","","Reagents","Reagents"
"2090105","","","Recent Events","Recent Events"
"2090384","","","Reference","Reference"
"2090033","","","Reference URL","Reference URL"
"2090092","","","Related","Related"
"2090511","","","Rename Collection","Rename Collection"
"2090330","","","Replicas","Replicas"
"2090067","","","Required On Time","Required On Time"
"2090114","","","Research Plan","Research Plan"
"2090391","","","Resource","Resource"
"2090352","","","Resource Id","Resource Id"
"2090516","","","Resources","Resources"
"2090538","","","Revert","Revert"
"2090298","","","Role","Role"
"2090515","","","Roles","Roles"
"2090064","","","Sample Period Minimum","Sample Period Minimum"
"2090537","","","Save Changes","Save Changes"
"2090544","","","Save changes before exititng?","Save changes before exititng?"
"2090353","","","Schedule","Schedule"
"2090477","","","Scheduled","Scheduled"
"2090382","","","Scheduling Info","Scheduling Info"
"2090107","","","Science Sensors","Science Sensors"
"2090381","","","Script Host","Script Host"
"2090503","","","Search","Search"
"2090038","","","Secondary Interfaces","Secondary Interfaces"
"2090026","","","Sensors","Sensors"
"2090021","","","Serial Number","Serial Number"
"2090265","","","Shore Networked","Shore Networked"
"2090495","","","Show Details","Show Details"
"2090501","","","Show/Hide Blocks","Show/Hide Blocks"
"2090356","","","Signal Characteristics","Signal Characteristics"
"2090427","","","Site","Site"
"2090029","","","Site List","Site List"
"2090010","","","Size","Size"
"2090048","","","Software Needed","Software Needed"
"2090025","","","Software Version","Software Version"
"2090144","","","Source","Source"
"2090281","","","Source Code ","Source Code "
"2090145","","","Specifications","Specifications"
"2090407","","","Speed over Ground","Speed over Ground"
"2090049","","","Standards","Standards"
"2090300","","","Start Date","Start Date"
"2090535","","","Starting Page","Starting Page"
"2090376","","","State","State"
"2090091","","","Status","Status"
"2090385","","","Status Overview","Status Overview"
"2090368","","","Stream Definition Id","Stream Definition Id"
"2090414","","","Stream In","Stream In"
"2090415","","","Stream Out","Stream Out"
"2090540","","","Subscribe","Subscribe"
"2090417","","","Subscription","Subscription"
"2090472","","","Subscription Information","Subscription Information"
"2090422","","","Supplements","Supplements"
"2090059","","","Survival Depth Maximumn","Survival Depth Maximumn"
"2090390","","","Survival Temperature Range","Survival Temperature Range"
"2090550","","","Table","Table"
"2090551","","","Table & Chart","Table & Chart"
"2090274","","","TBD","TBD"
"2090336","","","Technology","Technology"
"2090269","","","Telemetry","Telemetry"
"2090272","","","Telemetry System","Telemetry System"
"2090554","","","Temporal  Bounds","Temporal  Bounds"
"2090363","","","Temporal Constraint","Temporal Constraint"
"2090344","","","Temporal Id","Temporal Id"
"2090548","","","Text","Text"
"2090476","","","Time","Time"
"2090137","","","Time Source","Time Source"
"2090449","","","Title","Title"
"2090380","","","Topic","Topic"
"2090339","","","Topology Type ","Topology Type "
"2090317","","","Total Instruments","Total Instruments"
"2090313","","","Total Platforms","Total Platforms"
"2090383","","","Transform Type","Transform Type"
"2090337","","","Type","Type"
"2090126","","","Units","Units"
"2090529","","","Unless otherwise specified, send notifications to:","Unless otherwise specified, send notifications to:"
"2090541","","","Unsubscribe","Unsubscribe"
"2090346","","","Update Description","Update Description"
"2090015","","","Uptime","Uptime"
"2090370","","","Url","Url"
"2090534","","","User Interface Themes","User Interface Themes"
"2090400","","","User Manual","User Manual"
"2090125","","","Value","Value"
"2090124","","","Variable","Variable"
"2090556","","","Variables Information","Variables Information"
"2090131","","","Version","Version"
"2090461","","","Version Status","Version Status"
"2090423","","","Versions","Versions"
"2090102","","","Vocabulary","Vocabulary"
"2090071","","","Voltage","Voltage"
"2090086","","","Voltage Range","Voltage Range"
"2090072","","","Wattage","Wattage"
"2090329","","","Website","Website"
"2090055","","","Weight","Weight"
"2090041","","","Writable Storage","Writable Storage"
"2090285","","","X 3D Orientation Text","X 3D Orientation Text"
"2090289","","","X Offset","X Offset"
"2090288","","","Y Offset","Y Offset"
"2090287","","","Z Offset","Z Offset"
"2090570","","","Graph","Graph"
"2090571","","","Separator","----------"
"2090572","","","Attachments","Attachments"
"2090573","","","Marine Assets","Marine Assets"
"2090574","","","Variables Status","Variables Status"
"2090575","","","Tests","Tests"
"2090576","","","Inputs","Inputs"
"2090577","","","News","News"
"2090578","","","Current Location","Current Location"
"2090579","","","Data Displayed","Data Displayed"
"2090580","","","Recent","Recent"
"2090581","","","Recency","Recency"
"2090582","","","Recent Updates","Recent Updates"
"2090583","","","Recent Images","Recent Images"
"2090584","","","Popular Resources","Popular Resources"
"2090585","","","Unusual Events","Unusual Events"
"2090586","","","Views","Views"
"2090587","","","My Alerts","My Alerts"
"2090588","","","My Recent Events","My Recent Events"
"2090589","","","Created By","Created By"
"2090590","","","Modified By","Modified By"
"2090591","","","Number Platforms","Number of Platforms"
"2090592","","","Number Instruments","Number of Instruments"
"2090594","","","Event","Event"
"2090595","","","Reference Table","Reference Table"
"2090596","","","% Total Failed","% Total Failed"
"2090597","","","% Above Upper Limit","% Above Upper Limit"
"2090598","","","Lower Limit","Lower Limit"
"2090599","","","Current Status","Current Status"
"2090600","","","Instrument","Instrument"
"2090601","","","Nominal Baud Rate","Nominal Baud Rate"
"2090602","","","X Rotation","X Rotation"
"2090603","","","Y Rotation","Y Rotation"
"2090604","","","Z Rotation","Z Rotation"
"2090605","","","Nominal Communication Prorocol","Nominal Communication Prorocol"
"2090606","","","Nominal Current Limit","Nominal Current Limit"
"2090607","","","Applicable Range Max","Applicable Range Max"
"2090608","","","Applicable Range Min","Applicable Range Min"
"2090609","","","Missing Value","Missing Value"
"2090610","","","Depth Accuracy","Depth Accuracy"
"2090611","","","Geospatial Geodetic CRS","Geospatial Geodetic CRS"
"2090612","","","Geospatial Longitude Units","Geospatial Longitude Units"
"2090613","","","Geospatial Latitude Units","Geospatial Latitude Units"
"2090614","","","Geospatial Vertical Units","Geospatial Vertical Units"
"2090615","","","Geospatial Vertical CRS","Geospatial Vertical CRS"
"2090616","","","Resources Nearby","Resources Nearby"
"2090617","","","Related Resources","Related Resources"
"2090618","","","Nearby","Nearby"
"2090619","","","Provenance Graph","Provenance Graph"
"2090620","","","Nearby Resources","Nearby Resources"
"2090621","","","Taskable Resource","Taskable Resource"
"2090622","","","Information Resource","Information Resource"
"2090623","","","Search Criteria","Search Criteria"
"2090624","","","Deployment","Deployment"
"2090625","","","statistics","statistics"
"2090626","","","Organization","Organization"
"2090627","","","Device Model","Device Model"
"2090628","","","Instrument Status","Instrument Status"
"2090629","","","Platforms Status","Platforms Status"
"2090630","","","Science Sensors Status","Science Sensors Status"
"2090631","","","Engineering Sensors Status","Engineering Sensors Status"
"2090632","","","Data Products (Outputs)","Data Products (Outputs)"
"2090633","","","Algorithm Description","Algorithm Description"
"2090634","","","Input Variables","Input Variables"
"2090635","","","Output Variables","Output Variables"
"2090636","","","Output Accuracy","Output Accuracy"
"2090637","","","Current Instantiations","Current Instantiations"
"2090638","","","Outputs","Outputs"
"2090639","","","Available Inputs","Available Inputs"
"2090640","","","My Notifications","My Notifications"
"2090641","","","Notification Requests","Notification Requests"
"2090642","","","Notifications","Notifications"
"2090643","","","Delivered Via","Delivered Via"
"2090644","","","Total Resourses Subscribed","Total Resourses Subscribed"
"2090645","","","Data Producer","Data Producer"
"2090646","","","Network Graph","Network Graph"
"2090647","","","Network Map","Network Map"
"2090648","","","Provenance Map","Provenance Map"
"2090649","","","Proximity Map","Proximity Map"
"2090650","","","Data Resource","Data Resource"
"2090651","","","Original Source","Original Source"
"2090652","","","Settings","Settings"
"2090653","","","Registration Contact Information","Registration Contact Information"
"2090654","","","Resource Availability Settings","Resource Availability Settings"
"2090655","","","Resource Polling Settings","Resource Polling Settings"
"2090656","","","Resource is private and available to me only","Resource is private and available to me only"
"2090657","","","Resource is publicly available","Resource is publicly available"
"2090658","","","Poll every","Poll every"
"2090659","","","Do not poll the resource","Do not poll the resource"
"2090660","","","External Dataset Registration","External Dataset Registration"
"2090661","","","Poll every 01:00 Hours","Poll every 01:00 Hours"
"2090662","","","Vertical Extent","Vertical Extent"
"2090663","","","Device","Device"
"2090664","","","External Dataset","External Dataset"
"2090665","","","Subscriptions","Subscriptions"
"2090666","","","Vertical Position","Vertical Position"
"2090667","","","Geodetic Reference","Geodetic Reference"
"2090668","","","Vertical Positive","Vertical Positive"
"2090669","","","Time Zone","Time Zone"
"2090670","","","Status Details","Status Details"
"2090671","","","Communications Status History","Communications Status History"
"2090672","","","Communications History","Communications History"
"2090673","","","Data History","Data History"
"2090674","","","Location History","Location History"
"2090675","","","Power History","Power History"
"2090676","","","Collection Status","Collection Status"
"2090677","","","Stored Size","Stored Size"
"2090678","","","Principal Investigator","Principal Investigator"
"2090679","","","Data Status","Data Status"
"2090680","","","Provenance","Provenance"
"2090681","","","External Archivings","External Archivings"
"2090682","","","Available Formats","Available Formats"
"2090683","","","Auxilliary Identifer","Auxilliary Identifer"
"2090684","","","Auxilliary Name","Auxilliary Name"
"2090685","","","MAC Address","MAC Address"
"2090686","","","Port Information","Port Information"
"2090687","","","Subsite Code","Subsite Code"
"2090688","","","Popularity","Popularity"
"2090689","","","Primary Contact","Primary Contact"
"2090690","","","Alternate Contact","Alternate Contact"
"2090691","","","Manager","Manager"
"2090692","","","Readings","Readings"
"2090693","","","Data Updated","Data Updated"
"2090694","","","Data Ingested","Data Ingested"
"2090696","","","Width","Width"
"2090697","","","Height","Height"
"2090698","","","Length","Length"
"2090699","","","Power Supply Voltage Minimum","Power Supply Voltage Minimum"
"2090700","","","Power Supply Voltage Maximum","Power Supply Voltage Maximum"
"2090701","","","UUID","UUID"
"2090702","","","Observatory  URL","Observatory  URL"
"2090703","","","Observatory Site  URL","Observatory Site  URL"
"2090704","","","Control Interface","Control Interface"
"2090705","","","Controllable","Controllable"
"2090706","","","Administrative Area","Administrative Area"
"2090707","","","Map Context","Map Context"
"2090708","","","Hardware Version","Hardware Version"
"2090709","","","Platform Family","Platform Family"
"2090710","","","Model Type","Model Type"
"2090711","","","Instrument Model References","Instrument Model References"
"2090712","","","Instrument References","Instrument References"
"2090713","","","Sensor References","Sensor References"
"2090714","","","Sensor Model References","Sensor Model References"
"2090715","","","Device Sensor is On","Device Sensor is On"
"2090716","","","Pattern","Pattern"
"2090717","","","Temporal Extent","Temporal Extent"
"2090718","","","Choose a Command","Choose a Command"
"2090719","","","Device Sites","Device Sites"
"2090720","","","Reference Links","Reference Links"
"2090721","","","Platform References","Platform References"
"2090722","","","Data Product References","Data Product References"
"2090723","","","Data Producers","Data Producers"
"2090724","","","Updated","Updated"
"2090725","","","Calibrated","Calibrated"
"2090726","","","Data Path","Data Path"
"2090727","","","Long Name","Long Name"
"2090728","","","Short Name","Short Name"
"2090729","","","Streams","Streams"
"2090730","","","Configuration","Configuration"
"2090731","","","Deployment Type","Deployment Type"
"2090732","","","Variables","Variables"
"2090733","","","Primary Data Producer","Primary Data Producer"
"2090734","","","Sort By","Sort By"
"2090735","","","Environment","Environment"
"2090736","","","Synonyms","Synonyms"
"2090737","","","Observatory Site","Observatory Site"
"2090738","","","Policy","Policy"
"2090739","","","Data Provider","Data Provider"
"2090740","","","Data Set","Data Set"
"2090741","","","Agent Instance","Agent Instance"
"2090742","","","Data Process Definition","Data Process Definition"
"2090743","","","Data Source","Data Source"
"2090744","","","Stream Definition","Stream Definition"
"2090745","","","Dataset Model","Dataset Model"
"2090746","","","Dataset Agent","Dataset Agent"
"2090747","","","Platform Agent","Platform Agent"
"2090748","","","Data Source Agent","Data Agent"
"2090749","","","Instrument Model","Instrument Model"
"2090750","","","Platform Model","Platform Model"
"2090751","","","Sensor Model","Sensor Model"
"2090752","","","Instrument Site","Instrument Site"
"2090753","","","Platform Site","Platform Site"
"2090754","","","Subsite","Subsite"
"2090755","","","Sensor","Sensor"
"2090756","","","","% Below Lower Limit"
"2090757","","","","Upper Limit"
"2090758","","","","Active Subscriptions"
"2090759","","","","Number of Active Subscriptions"
"2090760","","","","Past Subscriptions"
"2090761","","","","Resources in Collection"
"2090762","","","","Subsites"
"2090763","","","","User"
"2090764","","","","Joined"
"2090765","","","","Sites"
"2090766","","","","Deployments"
"2090767","","","","Optional Email Settings"
"2090768","","","","Salt"
"2090769","","","","Pepper"
"2090770","","","","Optional Contact Information"
"2090771","","","","Prefered Email"
"2090772","","","","SMS"
"2090773","","","","Subscribed"
"2090774","","","","Command Events"
"2090775","","","","Agent Description"
"2090776","","","","CI Onboard"
"2090777","","","","Control Information"
"2090778","","","","Optional Notification Settings"
"2090779","","","","Contact Methods"
"2090780","","","","Notification Methods"
"2090781","","","","Display Settings"
"2090782","","","","Input Data Products"
"2090783","","","","Usage Statistics"
"2090784","","","","Data Curation"
"2090785","","","","External Archives"
"2090786","","","","Number of Data  Products"
"2090787","","","","Policies Defined"
"2090788","","","","Policies In Effect"
"2090789","","","","Latest Message"
"2090790","","","","Assets"
"2090791","","","","Data Product Definition"
"2090792","","","","On Device"
"2090793","","","","On Platform"
"2090794","","","","Current Instances"
"2090795","","","","Stream Definitions"
"2090796","","","","Data Process Outputs"
"2090797","","","","Input Stream Definitions"
"2090798","","","","Output Stream Definitions"
"2090799","","","","Subtype"
"2090800","","","","Standard Name"
"2090801","","","","Axis"
"2090802","","","","Real-Time Data"
"2090803","","","","Historic Data"
"2090804","","","","Event Type"
"2090805","","","","Observatory Sites"
