__pk_jt_ScreenElement_InformationElement_ID,_fk_InformationElement_ID,_fk_ScreenElement_ID,Information Element Type
"2033362","2011247","2161425","Resource Attribute"
"2033363","2011264","2161426","Resource Attribute"
"2033366","2011350","2161429","Resource Attribute"
"2033368","2011386","2161431","Resource Attribute"
"2033370","2011422","2161433","Resource Attribute"
"2033374","2011494","2161437","Resource Attribute"
"2033380","2011602","2161443","Resource Attribute"
"2033382","2011638","2161445","Resource Attribute"
"2033384","2011674","2161447","Resource Attribute"
"2033390","2011782","2161453","Resource Attribute"
"2033392","2011836","2161455","Resource Attribute"
"2033394","2011872","2161457","Resource Attribute"
"2033395","2011898","2161458","Resource Attribute"
"2033396","2011924","2161459","Resource Attribute"
"2033397","2011950","2161460","Resource Attribute"
"2033398","2011968","2161461","Resource Attribute"
"2033401","2012062","2161464","Resource Attribute"
"2033402","2012080","2161465","Resource Attribute"
"2033403","2012098","2161466","Resource Attribute"
"2033404","2012116","2161467","Resource Attribute"
"2033405","2012134","2161468","Resource Attribute"
"2033406","2012152","2161469","Resource Attribute"
"2033408","2012188","2161471","Resource Attribute"
"2033409","2012206","2161472","Resource Attribute"
"2033410","2012224","2161473","Resource Attribute"
"2033411","2012242","2161474","Resource Attribute"
"2033413","2012278","2161476","Resource Attribute"
"2033457","2010770","2161520","Resource Attribute"
"2033462","2010885","2161525","Resource Attribute"
"2033463","2010903","2161526","Resource Attribute"
"2033464","2010921","2161527","Resource Attribute"
"2033465","2010939","2161528","Resource Attribute"
"2033467","2010973","2161530","Resource Attribute"
"2033468","2010990","2161531","Resource Attribute"
"2033469","2011008","2161532","Resource Attribute"
"2033470","2011026","2161533","Resource Attribute"
"2033471","2011044","2161534","Resource Attribute"
"2033472","2011061","2161535","Resource Attribute"
"2033476","2011129","2161539","Resource Attribute"
"2033477","2011146","2161540","Resource Attribute"
"2033482","2011235","2161545","Resource Attribute"
"2033483","2011252","2161546","Resource Attribute"
"2033488","2011338","2161551","Resource Attribute"
"2033490","2011374","2161553","Resource Attribute"
"2033492","2011410","2161555","Resource Attribute"
"2033497","2011500","2161560","Resource Attribute"
"2033502","2011590","2161565","Resource Attribute"
"2033504","2011626","2161567","Resource Attribute"
"2033506","2011662","2161569","Resource Attribute"
"2033512","2011770","2161575","Resource Attribute"
"2033514","2011824","2161577","Resource Attribute"
"2033516","2011860","2161579","Resource Attribute"
"2033517","2011886","2161580","Resource Attribute"
"2033518","2011912","2161581","Resource Attribute"
