__pk_ScreenElement_ID,_fk_Graphic_ID,_fk_HelpTag_ID,_fk_MessageString_ID,_fk_ScreenLabel_ID,_fk_State_ID,_fk_Widget_ID,Default Value,Description,Name
"2162971","","2290456","","2090071","","2130023","","","voltage [DataSourceModel] (text_short)"
"2162972","","2290457","","2090072","","2130023","","","wattage [DeviceModel] (text_short)"
"2162973","","2290457","","2090072","","2130023","","","wattage [PlatformModel] (text_short)"
"2162974","","2290457","","2090072","","2130023","","","wattage [InstrumentModel] (text_short)"
"2162975","","2290457","","2090072","","2130023","","","wattage [SensorModel] (text_short)"
"2162977","","2290457","","2090072","","2130023","","","wattage [DataSourceModel] (text_short)"
"2162979","","2290451","","2090055","","2130023","","","weight [DeviceModel] (text_short)"
"2162984","","2290451","","2090055","","2130023","","","weight [InstrumentModel] (text_short)"
"2162985","","2290451","","2090055","","2130023","","","weight [PlatformModel] (text_short)"
"2162986","","2290451","","2090055","","2130023","","","weight [SensorModel] (text_short)"
"2162988","","2290451","","2090055","","2130023","","","weight [DataSourceModel] (text_short)"
"2162989","","2290511","","2090696","","2130023","","","width [DeviceModel] (text_short)"
"2162997","","2290806","","2090552","","2130026","","","Identification [InstrumentDevice] (block)"
"2162999","","2290786","","2090095","","2130026","","","Contacts [InstrumentDevice] (block)"
"2163000","","2290812","","2090103","","2130026","","","Latest Readings [InstrumentDevice] (block)"
"2163001","","2290758","","2090104","","2130029","","main, non-derived, data product for instrument","Data Information (attribute_group)"
"2163004","","2290803","","2090120","","2130026","","","References [InstrumentDevice] (block)"
"2163005","","2290817","","2090851","","2130026","","","Agent [InstrumentDevice] (block)"
"2163006","","2290787","","2090704","","2130026","","","Control Interface [InstrumentDevice] (block)"
"2163008","","2291011","","2090147","","2130034","","","Policies (table)"
"2163009","","2291111","","2090853","","2130026","","","Dimensions [InstrumentDevice] (block)"
"2163010","","2290838","","2090146","","2130026","","","Power [InstrumentDevice] (block)"
"2163011","","2291004","","2090099","","2130034","","","Events (table)"
"2163014","","2291117","","2090108","","2130026","","","Engineering Sensors [InstrumentDevice] (block)"
"2163015","","2290806","","2090552","","2130026","","","Identification [PlatformDevice] (block)"
"2163016","","2291110","","2090852","","2130026","","","General Specifications [PlatformDevice] (block)"
"2163017","","2290814","","2090027","","2130026","","","Location [PlatformDevice] (block)"
"2163018","","2291111","","2090853","","2130026","","","Dimensions [PlatformDevice] (block)"
"2163019","","2290838","","2090146","","2130026","","","Power [PlatformDevice] (block)"
"2163020","","2291102","","2090839","","2130026","","","Agent [PlatformDevice] (block)"
"2163025","","2290801","","2090005","","2130026","","","Description [InstrumentDevice] (block)"
"2163026","","2290840","","2090146","","2130026","","displays rollup values over timeneed rollup inputs & algorithm","Power Status Overview [InstrumentDevice] (block)"
"2163027","","2290784","","2090386","","2130026","","displays rollup values over timeneed rollup inputs, algorithm, and attributes","Communications Status Overview [InstrumentDevice] (block)"
"2163028","","2290789","","2090097","","2130026","","displays rollup values over timeneed rollup inputs & algorithm","Data Status Overview [InstrumentDevice] (block)"
"2163029","","2290814","","2090027","","2130026","","displays rollup values overn timeneed rollup inputs & algorithm","Location Status Overview [InstrumentDevice] (block)"
"2163030","","2290811","","2090789","","2130026","","","Latest Message [InstrumentDevice] (block)"
"2163031","","2290866","","2090389","","2130026","","","Title Bar [InstrumentDevice] (block)"
"2163033","","2290801","","2090005","","2130026","","","Description [PlatformDevice] (block)"
"2163035","","2290786","","2090095","","2130026","","","Contacts [PlatformDevice] (block)"
"2163038","","2290789","","2090097","","2130026","","","Data [PlatformDevice] (block)"
"2163039","","2290836","","2090147","","2130026","","","Policies [PlatformDevice] (block)"
"2163040","","2290803","","2090120","","2130026","","","References [PlatformDevice] (block)"
"2163043","","2290844","","2090105","","2130026","","","Recent Events [PlatformDevice] (block)"
