Textbox8,tbToday
Data Product Spreadsheet,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level1,Units,DPS_DCN_s_,Processing_Flow_Diagram_DCN_s_,Instrument_Class,Instrument_Name,First_Deployment_Date,DOORS_L2_Science_Req__,Regime_s_
OPTPARW,Photosynthetically Active Radiation (400-700 nm),L1,µmol photons/m^2*s,"DCN 1341-00720 (Satl), DCN 1341-00721 (Bios)",DCN 1342-00720,PARAD,PAR,2013-10,L2-SR-RQ-3670,Water Column
OPTTEMP,Temperature from OPTAA,L0,degrees C,"DCN 1341-00690, DCN 1341-00700",DCN 1342-00690,OPTAA,Attenuation absorption optical,2013-11,"L2-SR-RQ-3926, L2-SR-RQ-3928",Water Column
PCO2ATM,Partial Pressure of CO2 in Atmosphere,L1,µatm,DCN 1341-00260,DCN 1342-00260,PCO2A,pCO2 air-sea,2013-11,L2-SR-RQ-3023,Air-Sea Interface
PCO2SSW,Partial Pressure of CO2 in Surface Sea Water,L1,µatm,DCN 1341-00260,DCN 1342-00260,PCO2A,pCO2 air-sea,2013-11,L2-SR-RQ-3023,Air-Sea Interface
PCO2WAT,Partial Pressure of CO2 in Water,L1,µatm,DCN 1341-00490,DCN 1342-00490,PCO2W,pCO2 water,2013-11,L2-SR-RQ-3049,Water Column
PH434SI,Optical Absorbance Signal Intensity at 434nm,L0,unitless,DCN 1341-00508,DCN 1342-00510,PHSEN,pH stable,2013-07-17,Derived from design to achieve PHWATER,Water Column
PH578SI,Optical Absorbance Signal Intensity at 578nm,L0,unitless,DCN 1341-00509,DCN 1342-00510,PHSEN,pH stable,2013-07-17,Derived from design to achieve PHWATER,Water Column
PHSSAMP,Physical Fluid Sample – Diffuse fluid chemistry,L2,No Direct Datastream to OOI,"DCN 1341-00640 (OSMOI), DCN 1341-00641 (RASFL)",n/a,OSMOI,Watersample chem trace,2014-07,L2-SR-RQ-3088,Seafloor/Crust
PHSSAMP,Physical Fluid Sample – Diffuse fluid chemistry,L2,No Direct Datastream to OOI,"DCN 1341-00640 (OSMOI), DCN 1341-00641 (RASFL)",n/a,RASFL,Watersample chem trace H2S pH,2014-07,L2-SR-RQ-3088,Seafloor/Crust
PHWATER,pH,L1,pH units,DCN 1341-00510,DCN 1342-00510,PHSEN,pH stable,2013-07-17,L2-SR-RQ-3047,Water Column
PRACSAL,Practical Salinity,L2,unitless,DCN 1341-00040,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3064,Water Column
PRACSAL,Practical Salinity,L2,unitless,DCN 1341-00040,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3064,Water Column
PRACSAL,Practical Salinity,L2,unitless,DCN 1341-00040,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3064,Water Column
PRACSAL,Practical Salinity,L2,unitless,DCN 1341-00040,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3064,Water Column
PRACSAL,Practical Salinity,L2,unitless,DCN 1341-00040,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3064,Water Column
PRECIPM,Precipitation,L1,mm,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3024,"Air-Sea Interface, Surface Water"
PRESAIR,PCO2A Gas Stream Pressure,L0,mbar,DCN 1341-00260,DCN 1342-00260,PCO2A,pCO2 air-sea,2013-11,Derived from design to achieve PCO2AIR,Air-Sea Interface
PRESWAT,Pressure (Depth),L0,unitless,DCN 1341-00020,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L0,unitless,DCN 1341-00020,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L0,unitless,DCN 1341-00020,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L0,unitless,DCN 1341-00020,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L0,unitless,DCN 1341-00020,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L1,Pa,DCN 1341-00020,DCN 1342-00010,CTDAV,CTD AUV,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L1,Pa,DCN 1341-00020,DCN 1342-00010,CTDBP,CTD Bottom Pumped,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L1,Pa,DCN 1341-00020,DCN 1342-00010,CTDGV,CTD Glider,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L1,Pa,DCN 1341-00020,DCN 1342-00010,CTDMO,CTD Mooring,2013-07-17,L2-SR-RQ-3046,Water Column
PRESWAT,Pressure (Depth),L1,Pa,DCN 1341-00020,DCN 1342-00010,CTDPF,CTD Profiler,2013-07-17,L2-SR-RQ-3046,Water Column
RAINFLX,Rain Heat Flux,L2,W/m2,,,METBK,Meteorology bulk,2013-11,,
RAINRTE,Rain rate,L2,mm/hr,,,METBK,Meteorology bulk,2013-11,,
RELHUMI,Relative Humidity,L1,%,"DCN 1341-00280 (FDCHP), DCN 1341-00360 (METBK)","DCN 1342-00280 (FDCHP), DCN 1342-00360 (METBK)",METBK,Meteorology bulk,2013-11,L2-SR-RQ-3025,"Air-Sea Interface, Surface Water"
SALSURF,Sea Surface Salinity ,L2,unitless,,,METBK,Meteorology bulk,2013-11,,
SENSFLX ,Sensible Heat Flux ,L2,W/m2,,,METBK,Meteorology bulk,2013-11,,
SFLPRES,Seafloor Pressure,L0,Pa,"DCN 1341-00230 (PRESF), DCN 1341-00231 (PREST)","DCN 1342-00230 (PRESF), DCN 1342-00231 (PREST) ",PRESF,Pressure SF,2013-11,L2-SR-RQ-3083,Seafloor/Crust
SFLPRES,Seafloor Pressure,L0,Pa,"DCN 1341-00230 (PRESF), DCN 1341-00231 (PREST)","DCN 1342-00230 (PRESF), DCN 1342-00231 (PREST) ",PREST,Pressure SF tidal,2013-11,L2-SR-RQ-3083,Seafloor/Crust
SFLPRES,Seafloor Pressure,L1,Pa,"DCN 1341-00230 (PRESF), DCN 1341-00231 (PREST)","DCN 1342-00230 (PRESF), DCN 1342-00231 (PREST)",PRESF,Pressure SF,2013-11,L2-SR-RQ-3083,Seafloor/Crust
SFLPRES,Seafloor Pressure,L1,Pa,"DCN 1341-00230 (PRESF), DCN 1341-00231 (PREST)","DCN 1342-00230 (PRESF), DCN 1342-00231 (PREST)",PREST,Pressure SF tidal,2013-11,L2-SR-RQ-3083,Seafloor/Crust
SGRDVEL,Short Period Ground Velocity,L1,m/s,DCN 1341-00110,DCN 1342-00110,OBSSP,Seismometer shortperiod,2014-07,L2-SR-RQ-3100,Seafloor/Crust
SHRTIRR,Downwelling Shortwave Irradiance ,L1,W/m2,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3022,"Air-Sea Interface, Surface Water"
SONBSCA,Multi-Frequency Acoustic Backscatter,L0,TBD,DCN 1341-00800,DCN 1342-00800,ZPLSC,Plankton ZP sonar coastal,2013-07-17,L2-SR-RQ-3054,Water Column
SONBSCA,Multi-Frequency Acoustic Backscatter,L0,TBD,DCN 1341-00800,DCN 1342-00800,ZPLSG,Plankton ZP sonar global,2013-07-17,L2-SR-RQ-3054,Water Column
SONBSCA,Multi-Frequency Acoustic Backscatter,L1,dB re 1(m^2 nmi^-2),DCN 1341-00800,DCN 1342-00800,ZPLSC,Plankton ZP sonar coastal,2013-07-17,L2-SR-RQ-3054,Water Column
SONBSCA,Multi-Frequency Acoustic Backscatter,L1,dB re 1(m^2 nmi^-2),DCN 1341-00800,DCN 1342-00800,ZPLSG,Plankton ZP sonar global,2013-07-17,L2-SR-RQ-3054,Water Column
SPECHUM,Specific Humidity,L2,%,DCN 1341-00370,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3179 ,"Air-Sea Interface, Surface Water"
SPECTIR,Downwelling Spectral Irradiance ,L0,TBD,DCN 1341-00730,DCN 1342-00730,SPKIR,spectral irradiance,2013-11,L2-SR-RQ-3051,Water Column
SPECTIR,Downwelling Spectral Irradiance ,L1,µW*cm^-2*nm^-1,DCN 1341-00730,DCN 1342-00730,SPKIR,spectral irradiance,2013-11,L2-SR-RQ-3051,Water Column
SPHUM2M,Specific Humidity at 2 m,L2,%,,,METBK,Meteorology bulk,2013-11,,
TEMPA2M,Air Temperature at 2 m,L2,degrees C,,,METBK,Meteorology bulk,2013-11,,
TEMPAIR,Air Temperature,L1,degree C,DCN 1341-00360,DCN 1342-00360,METBK,Meteorology bulk,2013-11,L2-SR-RQ-3033,"Air-Sea Interface, Surface Water"
TEMPSFL,Temperature Array in Spatial Grid,L0,TBD,DCN 1341-00130,DCN 1342-00130,TMPSF,Temperature seafloor,2014-07,L2-SR-RQ-3101,Seafloor/Crust
