Textbox8,tbToday
Data Product Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level,Attribute,AttributeValue
CO2ABS1,Optical Absorbance Ratio at 434nm,0,DOORS L2 Science Requirement #(s),Derived from design to achieve PCO2WAT
CO2ABS1,Optical Absorbance Ratio at 434nm,0,DOORS L2 Science Requirement Text,none
CO2ABS1,Optical Absorbance Ratio at 434nm,0,DPS DCN(s),[DCN 1341-00487|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/80a7f169-8d1d-47d1-96b8-1eef13f333a8/1341-00490_Data_Product_Spec_PCO2WAT_OOI.pdf]
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Global Range Test (GLBLRNG) QC,not applicable
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Gradient Test (GRADTST) QC,not applicable
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Local Range Test (LOCLRNG) QC,not applicable
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Notes,
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Processing Flow Diagram DCN(s),[DCN 1342-00490|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/37041aff-4f16-4023-8b04-d3810ca2905f/1342-00490_PCO2W_Data_Processing_Flow_OOI.pdf]
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Regime(s),Water Column
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Spike Test (SPKETST) QC,not applicable
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Stuck Value Test (STUCKVL) QC,not applicable
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Trend Test (TRNDTST) QC,not applicable
CO2ABS1,Optical Absorbance Ratio at 434nm,0,Units,unitless
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Combine QC Flags (CMBNFLG) QC,not applicable
CO2ABS2,Optical Absorbance Ratio at 620nm,0,DOORS L2 Science Requirement #(s),Derived from design to achieve PCO2WAT
CO2ABS2,Optical Absorbance Ratio at 620nm,0,DOORS L2 Science Requirement Text,none
CO2ABS2,Optical Absorbance Ratio at 620nm,0,DPS DCN(s),[DCN 1341-00488|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/80a7f169-8d1d-47d1-96b8-1eef13f333a8/1341-00490_Data_Product_Spec_PCO2WAT_OOI.pdf]
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Global Range Test (GLBLRNG) QC,not applicable
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Gradient Test (GRADTST) QC,not applicable
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Local Range Test (LOCLRNG) QC,not applicable
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Notes,
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Processing Flow Diagram DCN(s),[DCN 1342-00490|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/37041aff-4f16-4023-8b04-d3810ca2905f/1342-00490_PCO2W_Data_Processing_Flow_OOI.pdf]
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Regime(s),Water Column
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Spike Test (SPKETST) QC,not applicable
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Stuck Value Test (STUCKVL) QC,not applicable
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Trend Test (TRNDTST) QC,not applicable
CO2ABS2,Optical Absorbance Ratio at 620nm,0,Units,unitless
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Combine QC Flags (CMBNFLG) QC,not applicable
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3032
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,DOORS L2 Science Requirement Text,flux of CO2
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,DPS DCN(s),[DCN 1341-00270|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f13cc476-0dcf-4d5c-a0d6-2738ba48b86f/1341-00270_Data_Product_SPEC_CO2FLUX_OOI.pdf]
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Global Range Test (GLBLRNG) QC,applicable
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Gradient Test (GRADTST) QC,not applicable
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Local Range Test (LOCLRNG) QC,not applicable
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Notes,
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Processing Flow Diagram DCN(s),[DCN 1342-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/057a2c02-c909-43c8-b0ef-102b4ad4f67e/1342-00260_PCO2A_Data_Processing_Flow_OOI.pdf]
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Regime(s),Air-Sea Interface
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Spike Test (SPKETST) QC,applicable
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Stuck Value Test (STUCKVL) QC,applicable
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Trend Test (TRNDTST) QC,not applicable
CO2FLUX,Flux of CO2 from the Ocean into the Atmosphere,2,Units,mol m-2 s-1
CO2THRM,PCO2W Thermistor Temperature,0,Combine QC Flags (CMBNFLG) QC,not applicable
CO2THRM,PCO2W Thermistor Temperature,0,DOORS L2 Science Requirement #(s),Derived from design to achieve PCO2WAT
CO2THRM,PCO2W Thermistor Temperature,0,DOORS L2 Science Requirement Text,none
CO2THRM,PCO2W Thermistor Temperature,0,DPS DCN(s),[DCN 1341-00489|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/80a7f169-8d1d-47d1-96b8-1eef13f333a8/1341-00490_Data_Product_Spec_PCO2WAT_OOI.pdf]
CO2THRM,PCO2W Thermistor Temperature,0,Global Range Test (GLBLRNG) QC,not applicable
CO2THRM,PCO2W Thermistor Temperature,0,Gradient Test (GRADTST) QC,not applicable
CO2THRM,PCO2W Thermistor Temperature,0,Local Range Test (LOCLRNG) QC,not applicable
CO2THRM,PCO2W Thermistor Temperature,0,Notes,
CO2THRM,PCO2W Thermistor Temperature,0,Processing Flow Diagram DCN(s),[DCN 1342-00490|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/37041aff-4f16-4023-8b04-d3810ca2905f/1342-00490_PCO2W_Data_Processing_Flow_OOI.pdf]
CO2THRM,PCO2W Thermistor Temperature,0,Regime(s),Water Column
CO2THRM,PCO2W Thermistor Temperature,0,Spike Test (SPKETST) QC,not applicable
CO2THRM,PCO2W Thermistor Temperature,0,Stuck Value Test (STUCKVL) QC,not applicable
CO2THRM,PCO2W Thermistor Temperature,0,Trend Test (TRNDTST) QC,not applicable
CO2THRM,PCO2W Thermistor Temperature,0,Units,volts
CONDSRF,Sea Surface Conductivity,1,Combine QC Flags (CMBNFLG) QC,Applicable
CONDSRF,Sea Surface Conductivity,1,DOORS L2 Science Requirement #(s),"L2-SR-RQ-3413, L2-SR-RQ-3711"
CONDSRF,Sea Surface Conductivity,1,DOORS L2 Science Requirement Text,The OOI shall provide fixed measurements of Sea Surface Conductivity.
CONDSRF,Sea Surface Conductivity,1,DPS DCN(s),DCN 1341-00360
CONDSRF,Sea Surface Conductivity,1,Global Range Test (GLBLRNG) QC,Applicable
CONDSRF,Sea Surface Conductivity,1,Gradient Test (GRADTST) QC,Applicable
CONDSRF,Sea Surface Conductivity,1,Local Range Test (LOCLRNG) QC,Applicable
CONDSRF,Sea Surface Conductivity,1,Notes,
