Textbox8,tbToday
Node Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Node,Node_Type,Node_Site_Sequence,Attribute,AttributeValue
CE05MOAS-GL003,GL,003,depth_port_max,
CE05MOAS-GL003,GL,003,depth_port_min,
CE05MOAS-GL003,GL,003,depth_subsite,
CE05MOAS-GL003,GL,003,First Deployment Date,2013-10
CE05MOAS-GL003,GL,003,latitude,
CE05MOAS-GL003,GL,003,longitude,
CE05MOAS-GL003,GL,003,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL003,GL,003,Relative Depth,
CE05MOAS-GL004,GL,004,depth_port_max,
CE05MOAS-GL004,GL,004,depth_port_min,
CE05MOAS-GL004,GL,004,depth_subsite,
CE05MOAS-GL004,GL,004,First Deployment Date,2013-10
CE05MOAS-GL004,GL,004,latitude,
CE05MOAS-GL004,GL,004,longitude,
CE05MOAS-GL004,GL,004,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL004,GL,004,Relative Depth,
CE05MOAS-GL005,GL,005,depth_port_max,
CE05MOAS-GL005,GL,005,depth_port_min,
CE05MOAS-GL005,GL,005,depth_subsite,
CE05MOAS-GL005,GL,005,First Deployment Date,2013-10
CE05MOAS-GL005,GL,005,latitude,
CE05MOAS-GL005,GL,005,longitude,
CE05MOAS-GL005,GL,005,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL005,GL,005,Relative Depth,
CE05MOAS-GL006,GL,006,depth_port_max,
CE05MOAS-GL006,GL,006,depth_port_min,
CE05MOAS-GL006,GL,006,depth_subsite,
CE05MOAS-GL006,GL,006,First Deployment Date,2013-10
CE05MOAS-GL006,GL,006,latitude,
CE05MOAS-GL006,GL,006,longitude,
CE05MOAS-GL006,GL,006,Platform Agent Type,Shore CyberPoP - Coastal Glider Dock Server
CE05MOAS-GL006,GL,006,Relative Depth,
CE06ISSM-MF004,MF,004,depth_port_max,
CE06ISSM-MF004,MF,004,depth_port_min,
CE06ISSM-MF004,MF,004,depth_subsite,29
CE06ISSM-MF004,MF,004,First Deployment Date,2014-10
CE06ISSM-MF004,MF,004,latitude,47.13
CE06ISSM-MF004,MF,004,longitude,124.27
CE06ISSM-MF004,MF,004,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF004,MF,004,Relative Depth,
CE06ISSM-MF005,MF,005,depth_port_max,
CE06ISSM-MF005,MF,005,depth_port_min,
CE06ISSM-MF005,MF,005,depth_subsite,29
CE06ISSM-MF005,MF,005,First Deployment Date,2014-10
CE06ISSM-MF005,MF,005,latitude,47.13
CE06ISSM-MF005,MF,005,longitude,124.27
CE06ISSM-MF005,MF,005,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-MF005,MF,005,Relative Depth,
CE06ISSM-RI002,RI,002,depth_port_max,
CE06ISSM-RI002,RI,002,depth_port_min,
CE06ISSM-RI002,RI,002,depth_subsite,29
CE06ISSM-RI002,RI,002,First Deployment Date,2014-10
CE06ISSM-RI002,RI,002,latitude,47.13
CE06ISSM-RI002,RI,002,longitude,124.27
CE06ISSM-RI002,RI,002,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI002,RI,002,Relative Depth,
CE06ISSM-RI003,RI,003,depth_port_max,
CE06ISSM-RI003,RI,003,depth_port_min,
CE06ISSM-RI003,RI,003,depth_subsite,29
CE06ISSM-RI003,RI,003,First Deployment Date,2014-10
CE06ISSM-RI003,RI,003,latitude,47.13
CE06ISSM-RI003,RI,003,longitude,124.27
CE06ISSM-RI003,RI,003,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-RI003,RI,003,Relative Depth,
CE06ISSM-SB001,SB,001,depth_port_max,
CE06ISSM-SB001,SB,001,depth_port_min,
CE06ISSM-SB001,SB,001,depth_subsite,29
CE06ISSM-SB001,SB,001,First Deployment Date,2014-10
CE06ISSM-SB001,SB,001,latitude,47.13
CE06ISSM-SB001,SB,001,longitude,124.27
CE06ISSM-SB001,SB,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSM-SB001,SB,001,Relative Depth,
CE06ISSP-SP001,SP,001,depth_port_max,
CE06ISSP-SP001,SP,001,depth_port_min,
CE06ISSP-SP001,SP,001,depth_subsite,29
CE06ISSP-SP001,SP,001,First Deployment Date,2014-04
CE06ISSP-SP001,SP,001,latitude,47.13
CE06ISSP-SP001,SP,001,longitude,124.27
CE06ISSP-SP001,SP,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE06ISSP-SP001,SP,001,Relative Depth,
CE07SHSM-MF004,MF,004,depth_port_max,
CE07SHSM-MF004,MF,004,depth_port_min,
CE07SHSM-MF004,MF,004,depth_subsite,87
CE07SHSM-MF004,MF,004,First Deployment Date,2014-10
CE07SHSM-MF004,MF,004,latitude,46.99
CE07SHSM-MF004,MF,004,longitude,124.57
CE07SHSM-MF004,MF,004,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF004,MF,004,Relative Depth,
CE07SHSM-MF005,MF,005,depth_port_max,
CE07SHSM-MF005,MF,005,depth_port_min,
CE07SHSM-MF005,MF,005,depth_subsite,87
CE07SHSM-MF005,MF,005,First Deployment Date,2014-10
CE07SHSM-MF005,MF,005,latitude,46.99
CE07SHSM-MF005,MF,005,longitude,124.57
