Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CP05MOAS-GL002-01-ADCPAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),ADCPA,Velocity Profiler (short range) for mobile assets,ADCPs to be mounted on gliders and AUVs,Teledyne RDI,Explorer DVL 600 kHz,Echo Intensity; Velocity Profile ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL002-02-FLORTM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Puck FLBBCD-SLK,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL002-03-CTDGVM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),CTDGV,CTD Glider,CTDs to be mounted on gliders,Sea-Bird,SBE Glider Payload CTD (GP-CTD),Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL002-04-DOSTAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL002-05-PARADM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2155,Photosynthetically Active Radiation (400-700 nm),Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL003-01-ADCPAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),ADCPA,Velocity Profiler (short range) for mobile assets,ADCPs to be mounted on gliders and AUVs,Teledyne RDI,Explorer DVL 600 kHz,Echo Intensity; Velocity Profile ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL003-02-FLORTM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Puck FLBBCD-SLK,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL003-03-CTDGVM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),CTDGV,CTD Glider,CTDs to be mounted on gliders,Sea-Bird,SBE Glider Payload CTD (GP-CTD),Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL003-04-DOSTAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL003-05-PARADM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2155,Photosynthetically Active Radiation (400-700 nm),Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL004-01-ADCPAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),ADCPA,Velocity Profiler (short range) for mobile assets,ADCPs to be mounted on gliders and AUVs,Teledyne RDI,Explorer DVL 600 kHz,Echo Intensity; Velocity Profile ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL004-02-FLORTM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Puck FLBBCD-SLK,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL004-03-CTDGVM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),CTDGV,CTD Glider,CTDs to be mounted on gliders,Sea-Bird,SBE Glider Payload CTD (GP-CTD),Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL004-04-DOSTAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL004-05-PARADM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2155,Photosynthetically Active Radiation (400-700 nm),Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL005-01-ADCPAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),ADCPA,Velocity Profiler (short range) for mobile assets,ADCPs to be mounted on gliders and AUVs,Teledyne RDI,Explorer DVL 600 kHz,Echo Intensity; Velocity Profile ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL005-02-FLORTM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Puck FLBBCD-SLK,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL005-03-CTDGVM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),CTDGV,CTD Glider,CTDs to be mounted on gliders,Sea-Bird,SBE Glider Payload CTD (GP-CTD),Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL005-04-DOSTAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL005-05-PARADM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2155,Photosynthetically Active Radiation (400-700 nm),Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL006-01-ADCPAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),ADCPA,Velocity Profiler (short range) for mobile assets,ADCPs to be mounted on gliders and AUVs,Teledyne RDI,Explorer DVL 600 kHz,Echo Intensity; Velocity Profile ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL006-02-FLORTM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Puck FLBBCD-SLK,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL006-03-CTDGVM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),CTDGV,CTD Glider,CTDs to be mounted on gliders,Sea-Bird,SBE Glider Payload CTD (GP-CTD),Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL006-04-DOSTAM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to near seafloor or <= 1000m,0,1000
CP05MOAS-GL006-05-PARADM999,CP,CP05MOAS,Pioneer Mobile Assets,GL(Gliders),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,Biospherical Instruments,QSP-2155,Photosynthetically Active Radiation (400-700 nm),Sea surface to near seafloor or <= 1000m,0,1000
GA01SUMO-RI002-02-CTDBPF999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,15m below sea surface,15,15
GA01SUMO-RI002-03-ADCPSN999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),ADCPS,Velocity Profiler (long range),ADCPs capable of measuring 500 m or greater from the instrument,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,Echo Intensity; Velocity Profile ,"Mounted at 500m, uplooking",500,500
GA01SUMO-RI002-04-FLORTD999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,15m below sea surface,15,15
GA01SUMO-RI002-05-VELPTA999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,15m below sea surface,15,15
GA01SUMO-RI003-01-PHSENE999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,20m below sea surface,20,20
GA01SUMO-RI003-02-PHSENE999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,100m below sea surface,100,100
GA01SUMO-RI003-03-CTDMOQ999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,20m below sea surface,20,20
GA01SUMO-RI003-05-CTDMOQ999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,60m below sea surface,60,60
GA01SUMO-RI003-06-CTDMOQ999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,100m below sea surface,90,90
GA01SUMO-RI003-08-CTDMOQ999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,180m below sea surface,180,180
GA01SUMO-RI003-09-CTDMOQ999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,250m below sea surface,250,250
GA01SUMO-RI003-10-CTDMOQ999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,350m below sea surface,350,350
GA01SUMO-RI003-11-CTDMOQ999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,500m below sea surface,500,500
GA01SUMO-RI003-12-CTDMOR999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,750m below sea surface,750,750
GA01SUMO-RI003-13-CTDMOR999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,1000m below sea surface,1000,1000
GA01SUMO-RI003-14-CTDMOR999,GA,GA01SUMO,Argentine Basin Surface Mooring,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,1500m below sea surface,1500,1500
GA01SUMO-SB001-01-METBKA999,GA,GA01SUMO,Argentine Basin Surface Mooring,SB(Surface Buoy),METBK,Bulk Meteorology Instrument Package,"Measures surface meteorology and provides the data required to compute air-sea fluxes of heat, freshwater, and momentum",Star Engineering,ASIMET,Barometric Pressure; Sea Surface Conductivity; Freshwater Flux; Net Heat Flux; Latent Heat Flux; Downwelling Longwave Irradiance; Momentum Flux (Wind Stress) ; Net Longwave Irradiance ; Net Shortwave Irradiance ; Precipitation; Rain Heat Flux; Rain rate; Relative Humidity; Sea Surface Salinity ; Sensible Heat Flux ; Downwelling Shortwave Irradiance ; Specific Humidity,~3m above sea surface,-3,-3
GA01SUMO-SB001-02-METBKA999,GA,GA01SUMO,Argentine Basin Surface Mooring,SB(Surface Buoy),METBK,Bulk Meteorology Instrument Package,"Measures surface meteorology and provides the data required to compute air-sea fluxes of heat, freshwater, and momentum",Star Engineering,ASIMET,Barometric Pressure; Sea Surface Conductivity; Freshwater Flux; Net Heat Flux; Latent Heat Flux; Downwelling Longwave Irradiance; Momentum Flux (Wind Stress) ; Net Longwave Irradiance ; Net Shortwave Irradiance ; Precipitation; Rain Heat Flux; Rain rate; Relative Humidity; Sea Surface Salinity ; Sensible Heat Flux ; Downwelling Shortwave Irradiance ; Specific Humidity,~3m above sea surface,-3,-3
GA01SUMO-SB001-03-PCO2AA999,GA,GA01SUMO,Argentine Basin Surface Mooring,SB(Surface Buoy),PCO2A,pCO2 Air-Sea,Measures partial pressure of CO2 at the air-sea interface,Pro-Oceanus,pCO2-pro,Flux of CO2 from the Ocean into the Atmosphere; Partial Pressure of CO2 in Atmosphere; Partial Pressure of CO2 in Surface Sea Water; PCO2A Gas Stream Pressure; CO2 Mole Fraction in Atmosphere; CO2 Mole Fraction in Surface Sea Water ,Sea Surface,0,0
GA01SUMO-SB001-05-WAVSSA999,GA,GA01SUMO,Argentine Basin Surface Mooring,SB(Surface Buoy),WAVSS,Surface Wave Spectra,"Non-directional and directional wave characteristics, SurfaceWave Spectra",Axys Technologies,TRIAXYS,Wave Spectral Properties,Sea Surface,0,0
GA02HYPM-MP003-01-ZPLSGA999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,MP(Mid-Water Platform),ZPLSG,Bio-acoustic Sonar (Global),Measures acoustic signal of plankton and zooplankton on global arrays,,,Multi-Frequency Acoustic Backscatter,"Mounted at 150m, uplooking",150,150
GA02HYPM-WF002-01-FLORDL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),FLORD,2-Wavelength Fluorometer,"2-Wavelength Fluorometer for measurement of fluorescence, Chl-a, optical backscatter",WET Labs,FLBBRTD,Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,~240m below sea surface to 2400m,240,4400
GA02HYPM-WF002-03-DOSTAL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4330,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,~240m below sea surface to 2400m,240,4400
GA02HYPM-WF002-04-CTDPFL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,SBE 52MP,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,~240m below sea surface to 2400m,240,4400
GA02HYPM-WF002-05-VEL3DL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Falmouth Scientific,ACM-Plus,Mean Point Water Velocity; Turbulent Point Water Velocity ,~240m below sea surface to 2400m,240,4400
GA02HYPM-WF004-01-FLORDL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),FLORD,2-Wavelength Fluorometer,"2-Wavelength Fluorometer for measurement of fluorescence, Chl-a, optical backscatter",WET Labs,FLBBRTD,Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,~240m below sea surface to 2400m,240,4400
GA02HYPM-WF004-03-DOSTAL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4330,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,~240m below sea surface to 2400m,240,4400
GA02HYPM-WF004-04-CTDPFL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,SBE 52MP,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,~240m below sea surface to 2400m,240,4400
GA02HYPM-WF004-05-VEL3DL999,GA,GA02HYPM,Argentine Basin Hybrid Profiler,WF(Wire-Following Profiler),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Falmouth Scientific,ACM-Plus,Mean Point Water Velocity; Turbulent Point Water Velocity ,~240m below sea surface to 2400m,240,4400
GA03FLMA-RI001-01-FLORTD999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,40m below sea surface,40,40
GA03FLMA-RI001-02-PHSENF999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,40m below sea surface,40,40
GA03FLMA-RI001-03-DOSTAD999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,40m below sea surface,40,40
GA03FLMA-RI001-04-ADCPSL999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),ADCPS,Velocity Profiler (long range),ADCPs capable of measuring 500 m or greater from the instrument,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,Echo Intensity; Velocity Profile ,"Mounted at 500m, uplooking",500,500
GA03FLMA-RI001-06-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,30m below sea surface,30,30
GA03FLMA-RI001-07-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,40m below sea surface,40,40
GA03FLMA-RI001-08-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,60m below sea surface,60,60
GA03FLMA-RI001-09-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,90m below sea surface,90,90
GA03FLMA-RI001-10-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,130m below sea surface,130,130
GA03FLMA-RI001-11-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,180m below sea surface,180,180
GA03FLMA-RI001-12-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,250m below sea surface,250,250
GA03FLMA-RI001-13-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,350m below sea surface,350,350
GA03FLMA-RI001-14-CTDMOG999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,500m below sea surface,500,500
GA03FLMA-RI001-15-CTDMOH999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,750m below sea surface,750,750
GA03FLMA-RI001-16-CTDMOH999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,1000m below sea surface,1000,1000
GA03FLMA-RI001-17-CTDMOH999,GA,GA03FLMA,Argentine Basin Mesoscale Flanking Mooring A,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,1500m below sea surface,1500,1500
GA03FLMB-RI001-01-FLORTD999,GA,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,RI(Mooring Riser),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,40m below sea surface,40,40
GA03FLMB-RI001-02-PHSENF999,GA,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,RI(Mooring Riser),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,40m below sea surface,40,40
GA03FLMB-RI001-03-DOSTAD999,GA,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,RI(Mooring Riser),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,40m below sea surface,40,40
GA03FLMB-RI001-04-ADCPSL999,GA,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,RI(Mooring Riser),ADCPS,Velocity Profiler (long range),ADCPs capable of measuring 500 m or greater from the instrument,Teledyne RDI,WorkHorse LongRanger Sentinel 75khz,Echo Intensity; Velocity Profile ,"Mounted at 500m, uplooking",500,500
GA03FLMB-RI001-06-CTDMOG999,GA,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,30m below sea surface,30,30
GA03FLMB-RI001-07-CTDMOG999,GA,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,40m below sea surface,40,40
GA03FLMB-RI001-08-CTDMOG999,GA,GA03FLMB,Argentine Basin Mesoscale Flanking Mooring B,RI(Mooring Riser),CTDMO,CTD Mooring (Inductive),CTDs to be used in surface and subsurface moorings,Sea-Bird,SBE 37IM,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,60m below sea surface,60,60
