Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CE01ISSP-SP001-10-PARADJ999,CE,CE01ISSP,Endurance OR Inshore Surface Piercing Profiler Mooring,SP(Surface-Piercing Profiler),PARAD,Photosynthetically Available Radiation,Measures optical attenuation and absorption at 400-700nm wavelengths,WET Labs,ECO PAR,Photosynthetically Active Radiation (400-700 nm),Sea surface to 2m above bottom,0,23
CE02SHBP-LJ01D-05-ADCPTB104,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Monitor 300khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,"Mounted 2m above bottom, uplooking",78,78
CE02SHBP-LJ01D-06-CTDBPN106,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,2m above bottom,78,78
CE02SHBP-LJ01D-06-DOSTAD106,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,2m above bottom,78,78
CE02SHBP-LJ01D-07-VEL3DC108,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),VEL3D,3-D Single Point Velocity Meter,"3-D single point velocity, fast enough to measure fluctuating velocity in u,v,w (u',v',w') or platform motion on moving profilers",Nortek,VECTOR,Mean Point Water Velocity; Turbulent Point Water Velocity ,2m above bottom,78,78
CE02SHBP-LJ01D-08-OPTAAD106,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,2m above bottom,78,78
CE02SHBP-LJ01D-09-PCO2WB103,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),PCO2W,pCO2 Water,Measures partial pressure of CO2 in the water column,Sunburst,SAMI-pCO2,Optical Absorbance Ratio at 434nm; Optical Absorbance Ratio at 620nm; PCO2W Thermistor Temperature; Partial Pressure of CO2 in Water,2m above bottom,78,78
CE02SHBP-LJ01D-10-PHSEND103,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,2m above bottom,78,78
CE02SHBP-LJ01D-11-HYDBBA106,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),HYDBB,Broadband Acoustic Receiver (Hydrophone),"Broadband (Passive) Acoustic Receiver in the water column to measure acoustic signal ofmarine mammals, fish, wind, and rain",Ocean Sonics,icListen HF,Broadband Acoustic pressure waves ; Broadband Frequency ,2m above bottom,78,78
CE02SHBP-LJ01D-12-CAMDSB107,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,LJ(LP Jbox),CAMDS,Digital Still Camera with Strobes,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna",Kongsberg,Modified OE14-408,Still Image ,2m above bottom,78,78
