Textbox8,tbToday
Class Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Class_Name,Attribute,AttributeValue
CTDAV,CTD AUV,Link to the Specification,
CTDAV,CTD AUV,Notes,
CTDAV,CTD AUV,PrimaryScienceDiscipline,P
CTDAV,CTD AUV,Produces Acoustic Interference,
CTDAV,CTD AUV,Ready for 2013?,
CTDAV,CTD AUV,RSN O&M Spares,
CTDAV,CTD AUV,RSN Part Number,
CTDAV,CTD AUV,Susceptible to Acoustic Interference,
CTDAV,CTD AUV,"Vendor CLIN, SubCLIN or Model #",
CTDBP,CTD Bottom Pumped,2009 Baseline Price*,"$10,630.00"
CTDBP,CTD Bottom Pumped,2009 Deployed Instrument Count,15
CTDBP,CTD Bottom Pumped,Alternate Instrument Class Name,CTD Pumped
CTDBP,CTD Bottom Pumped,CE Spares,
CTDBP,CTD Bottom Pumped,CGSN MREFC Spares,
CTDBP,CTD Bottom Pumped,CGSN O&M Spares,
CTDBP,CTD Bottom Pumped,CGSN P/N,
CTDBP,CTD Bottom Pumped,ClassLongName,CTD_bottom_pumped
CTDBP,CTD Bottom Pumped,Comments,
CTDBP,CTD Bottom Pumped,CP Spares,
CTDBP,CTD Bottom Pumped,Description,CTDs equiped with a bottom pump
CTDBP,CTD Bottom Pumped,ECRs that changed the count,
CTDBP,CTD Bottom Pumped,Global Spares,
CTDBP,CTD Bottom Pumped,Instrument Configuration,
CTDBP,CTD Bottom Pumped,Link to the Specification,
CTDBP,CTD Bottom Pumped,Notes,
CTDBP,CTD Bottom Pumped,PrimaryScienceDiscipline,P
CTDBP,CTD Bottom Pumped,Produces Acoustic Interference,
CTDBP,CTD Bottom Pumped,Ready for 2013?,
CTDBP,CTD Bottom Pumped,RSN O&M Spares,
CTDBP,CTD Bottom Pumped,RSN Part Number,
CTDBP,CTD Bottom Pumped,Susceptible to Acoustic Interference,
CTDBP,CTD Bottom Pumped,"Vendor CLIN, SubCLIN or Model #",
CTDGV,CTD Glider,2009 Baseline Price*,
CTDGV,CTD Glider,2009 Deployed Instrument Count,24
CTDGV,CTD Glider,Alternate Instrument Class Name,CTD Glider
CTDGV,CTD Glider,CE Spares,
CTDGV,CTD Glider,CGSN MREFC Spares,
CTDGV,CTD Glider,CGSN O&M Spares,
CTDGV,CTD Glider,CGSN P/N,
CTDGV,CTD Glider,ClassLongName,CTD_glider
CTDGV,CTD Glider,Comments,
CTDGV,CTD Glider,CP Spares,
CTDGV,CTD Glider,Description,CTDs to be mounted on gliders
CTDGV,CTD Glider,ECRs that changed the count,
CTDGV,CTD Glider,Global Spares,
CTDGV,CTD Glider,Instrument Configuration,
CTDGV,CTD Glider,Link to the Specification,
CTDGV,CTD Glider,Notes,
CTDGV,CTD Glider,PrimaryScienceDiscipline,P
CTDGV,CTD Glider,Produces Acoustic Interference,
CTDGV,CTD Glider,Ready for 2013?,
CTDGV,CTD Glider,RSN O&M Spares,
CTDGV,CTD Glider,RSN Part Number,
CTDGV,CTD Glider,Susceptible to Acoustic Interference,
CTDGV,CTD Glider,"Vendor CLIN, SubCLIN or Model #",
CTDMO,CTD Mooring,2009 Baseline Price*,"$5,760.00"
CTDMO,CTD Mooring,2009 Deployed Instrument Count,138
CTDMO,CTD Mooring,Alternate Instrument Class Name,CTD Mooring (Inductive)
CTDMO,CTD Mooring,CE Spares,
CTDMO,CTD Mooring,CGSN MREFC Spares,
CTDMO,CTD Mooring,CGSN O&M Spares,
CTDMO,CTD Mooring,CGSN P/N,
CTDMO,CTD Mooring,ClassLongName,CTD_mooring
CTDMO,CTD Mooring,Comments,
CTDMO,CTD Mooring,CP Spares,
CTDMO,CTD Mooring,Description,CTDs to be used in surface and subsurface moorings
CTDMO,CTD Mooring,ECRs that changed the count,
CTDMO,CTD Mooring,Global Spares,
CTDMO,CTD Mooring,Instrument Configuration,
CTDMO,CTD Mooring,Link to the Specification,
CTDMO,CTD Mooring,Notes,
CTDMO,CTD Mooring,PrimaryScienceDiscipline,P
CTDMO,CTD Mooring,Produces Acoustic Interference,
CTDMO,CTD Mooring,Ready for 2013?,
CTDMO,CTD Mooring,RSN O&M Spares,
CTDMO,CTD Mooring,RSN Part Number,
CTDMO,CTD Mooring,Susceptible to Acoustic Interference,
CTDMO,CTD Mooring,"Vendor CLIN, SubCLIN or Model #",
CTDPF,CTD Profiler,2009 Baseline Price*,
CTDPF,CTD Profiler,2009 Deployed Instrument Count,30
CTDPF,CTD Profiler,Alternate Instrument Class Name,CTD Profiler
CTDPF,CTD Profiler,CE Spares,
CTDPF,CTD Profiler,CGSN MREFC Spares,
CTDPF,CTD Profiler,CGSN O&M Spares,
CTDPF,CTD Profiler,CGSN P/N,
CTDPF,CTD Profiler,ClassLongName,CTD_profiler
CTDPF,CTD Profiler,Comments,
CTDPF,CTD Profiler,CP Spares,
CTDPF,CTD Profiler,Description,CTDs to be mounted on a profiler
CTDPF,CTD Profiler,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
CTDPF,CTD Profiler,Global Spares,
CTDPF,CTD Profiler,Instrument Configuration,
CTDPF,CTD Profiler,Link to the Specification,
CTDPF,CTD Profiler,Notes,
CTDPF,CTD Profiler,PrimaryScienceDiscipline,P
CTDPF,CTD Profiler,Produces Acoustic Interference,
CTDPF,CTD Profiler,Ready for 2013?,
CTDPF,CTD Profiler,RSN O&M Spares,
CTDPF,CTD Profiler,RSN Part Number,
CTDPF,CTD Profiler,Susceptible to Acoustic Interference,
CTDPF,CTD Profiler,"Vendor CLIN, SubCLIN or Model #",
DOFST,Oxygen dissolved fastresp,2009 Baseline Price*,
DOFST,Oxygen dissolved fastresp,2009 Deployed Instrument Count,21
DOFST,Oxygen dissolved fastresp,Alternate Instrument Class Name,Dissolved Oxygen Fast Response
DOFST,Oxygen dissolved fastresp,CE Spares,
DOFST,Oxygen dissolved fastresp,CGSN MREFC Spares,
DOFST,Oxygen dissolved fastresp,CGSN O&M Spares,
DOFST,Oxygen dissolved fastresp,CGSN P/N,
DOFST,Oxygen dissolved fastresp,ClassLongName,oxygen_dissolved_fastresp
DOFST,Oxygen dissolved fastresp,Comments,
DOFST,Oxygen dissolved fastresp,CP Spares,
DOFST,Oxygen dissolved fastresp,Description,Measures dissolved oxygen concentrations on shallow coastal profilers through rapid oxygen gradients
DOFST,Oxygen dissolved fastresp,ECRs that changed the count,
DOFST,Oxygen dissolved fastresp,Global Spares,
DOFST,Oxygen dissolved fastresp,Instrument Configuration,
DOFST,Oxygen dissolved fastresp,Link to the Specification,
DOFST,Oxygen dissolved fastresp,Notes,
DOFST,Oxygen dissolved fastresp,PrimaryScienceDiscipline,C
DOFST,Oxygen dissolved fastresp,Produces Acoustic Interference,
DOFST,Oxygen dissolved fastresp,Ready for 2013?,
DOFST,Oxygen dissolved fastresp,RSN O&M Spares,
DOFST,Oxygen dissolved fastresp,RSN Part Number,
DOFST,Oxygen dissolved fastresp,Susceptible to Acoustic Interference,
DOFST,Oxygen dissolved fastresp,"Vendor CLIN, SubCLIN or Model #",
DOSTA,Oxygen dissolved stable,2009 Baseline Price*,"$6,000.00"
DOSTA,Oxygen dissolved stable,2009 Deployed Instrument Count,61
