Textbox8,tbToday
Reference Designator Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Reference_Designator,Class,Attribute,AttributeValue
CE01ISSP-SP001-05-VELPTJ999,VELPT,depth_subsite,24.3
CE01ISSP-SP001-05-VELPTJ999,VELPT,First Deployment Date,2014-10
CE01ISSP-SP001-05-VELPTJ999,VELPT,latitude,44.66
CE01ISSP-SP001-05-VELPTJ999,VELPT,longitude,124.1
CE01ISSP-SP001-05-VELPTJ999,VELPT,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-05-VELPTJ999,VELPT,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,depth_port_max,23
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,depth_port_min,0
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,depth_subsite,24.3
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,First Deployment Date,2014-10
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,latitude,44.66
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,longitude,124.1
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-06-NUTNRJ999,NUTNR,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,depth_port_max,23
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,depth_port_min,0
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,depth_subsite,24.3
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,First Deployment Date,2014-10
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,latitude,44.66
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,longitude,124.1
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-07-SPKIRJ999,SPKIR,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-08-FLORTJ999,FLORT,depth_port_max,23
CE01ISSP-SP001-08-FLORTJ999,FLORT,depth_port_min,0
CE01ISSP-SP001-08-FLORTJ999,FLORT,depth_subsite,24.3
CE01ISSP-SP001-08-FLORTJ999,FLORT,First Deployment Date,2014-10
CE01ISSP-SP001-08-FLORTJ999,FLORT,latitude,44.66
CE01ISSP-SP001-08-FLORTJ999,FLORT,longitude,124.1
