Textbox8,tbToday
Family Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Family,Family_Name,Attribute,AttributeValue
FLO,Fluorometer,"Vendor CLIN, SubCLIN or Model #",
HYD,Hydrophone,2009 Baseline Price*,
HYD,Hydrophone,2009 Deployed Instrument Count,
HYD,Hydrophone,Alternate Instrument Class Name,
HYD,Hydrophone,CE Spares,
HYD,Hydrophone,CGSN MREFC Spares,
HYD,Hydrophone,CGSN O&M Spares,
HYD,Hydrophone,CGSN P/N,
HYD,Hydrophone,ClassLongName,
HYD,Hydrophone,Comments,
HYD,Hydrophone,CP Spares,
HYD,Hydrophone,Description,
HYD,Hydrophone,ECRs that changed the count,
HYD,Hydrophone,Global Spares,
HYD,Hydrophone,Instrument Configuration,
HYD,Hydrophone,Link to the Specification,
HYD,Hydrophone,Notes,
HYD,Hydrophone,PrimaryScienceDiscipline,
HYD,Hydrophone,Produces Acoustic Interference,
HYD,Hydrophone,Ready for 2013?,
HYD,Hydrophone,RSN O&M Spares,
HYD,Hydrophone,RSN Part Number,
HYD,Hydrophone,Susceptible to Acoustic Interference,
HYD,Hydrophone,"Vendor CLIN, SubCLIN or Model #",
IES,Inverted Echo Sounder,2009 Baseline Price*,
IES,Inverted Echo Sounder,2009 Deployed Instrument Count,
IES,Inverted Echo Sounder,Alternate Instrument Class Name,
IES,Inverted Echo Sounder,CE Spares,
IES,Inverted Echo Sounder,CGSN MREFC Spares,
IES,Inverted Echo Sounder,CGSN O&M Spares,
IES,Inverted Echo Sounder,CGSN P/N,
IES,Inverted Echo Sounder,ClassLongName,
IES,Inverted Echo Sounder,Comments,
IES,Inverted Echo Sounder,CP Spares,
IES,Inverted Echo Sounder,Description,
IES,Inverted Echo Sounder,ECRs that changed the count,
IES,Inverted Echo Sounder,Global Spares,
IES,Inverted Echo Sounder,Instrument Configuration,
IES,Inverted Echo Sounder,Link to the Specification,
IES,Inverted Echo Sounder,Notes,
IES,Inverted Echo Sounder,PrimaryScienceDiscipline,
IES,Inverted Echo Sounder,Produces Acoustic Interference,
IES,Inverted Echo Sounder,Ready for 2013?,
IES,Inverted Echo Sounder,RSN O&M Spares,
IES,Inverted Echo Sounder,RSN Part Number,
IES,Inverted Echo Sounder,Susceptible to Acoustic Interference,
IES,Inverted Echo Sounder,"Vendor CLIN, SubCLIN or Model #",
MET,Meteorology,2009 Baseline Price*,
MET,Meteorology,2009 Deployed Instrument Count,
