Textbox8,tbToday,Textbox2
Instrument Catalog (Full Location Detail),Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,Textbox11,LNode_NodeSequence,LPort_PortNumber,SClass_PublicID,SSeries_PublicID,LSlot_InstrumentSequence,SSubseries_PublicID,SSubseries_Description,MMInstrument_Manufacturer,MMInstrument_PublicID,MMInstrument_Description,First_Deployment_Date,Platform_Agent_Type,Ready_For_2013_,Susceptible_to_Acoustic_Interference,Produces_Acoustic_Interference
CE02SHBP-LJ01D-05-ADCPTB104,Endurance OR Shelf Benthic Pkg,02,SHBP,LJ (LP Jbox),01D,05,ADCPT,B,104,01,ADCPT Series B Sub 01,Teledyne RDI,WorkHorse Monitor 300khz,WorkHorse Monitor 300khz,2014-07,Shore CyberPoP - Regional Observatory Management System,,Yes,
CE04OSSM-RI003-01-ADCPTC999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,01,ADCPT,C,999,01,ADCPT Series C Sub 01,Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
CE07SHSM-MF005-04-ADCPTC999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,04,ADCPT,C,999,01,ADCPT Series C Sub 01,Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
CE09OSSM-RI003-01-ADCPTC999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),003,01,ADCPT,C,999,01,ADCPT Series C Sub 01,Teledyne RDI,WorkHorse Sentinel 300khz,WorkHorse Sentinel 300khz,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
CP01CNSM-MF004-01-ADCPTF999,Pioneer Central Surface Mooring,01,CNSM,MF (Multi-Function Node),004,01,ADCPT,F,999,01,ADCPT Series F Sub 01,Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,2013-11,InSitu CyberPoP - Surface Mooring Platform Controller,,Yes,
CP03ISSM-MF005-03-ADCPTF999,Pioneer Inshore Surface Mooring,03,ISSM,MF (Multi-Function Node),005,03,ADCPT,F,999,01,ADCPT Series F Sub 01,Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,2014-09,Shore CyberPoP - Coastal Mooring Server,,Yes,
CP02PMCI-RI001-01-ADCPTG999,Pioneer Central Inshore Profiler Mooring,02,PMCI,RI (Mooring Riser),001,01,ADCPT,G,999,01,ADCPT Series G Sub 01,Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,2014-04,Shore CyberPoP - Coastal Mooring Server,,Yes,
CP02PMCO-RI001-01-ADCPTG999,Pioneer Central Offshore Profiler Mooring,02,PMCO,RI (Mooring Riser),001,01,ADCPT,G,999,01,ADCPT Series G Sub 01,Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,2014-04,Shore CyberPoP - Coastal Mooring Server,,Yes,
CP02PMUI-RI001-01-ADCPTG999,Pioneer Upstream Inshore Profiler Mooring,02,PMUI,RI (Mooring Riser),001,01,ADCPT,G,999,01,ADCPT Series G Sub 01,Teledyne RDI,WorkHorse Sentinel150khz,WorkHorse Sentinel150khz,2013-11,Shore CyberPoP - Coastal Mooring Server,,Yes,
CE01ISSM-MF004-05-ADCPTM999,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),004,05,ADCPT,M,999,01,ADCPT Series M Sub 01,Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,2014-04,Shore CyberPoP - Coastal Mooring Server,,Yes,
CE06ISSM-MF004-05-ADCPTM999,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),004,05,ADCPT,M,999,01,ADCPT Series M Sub 01,Teledyne RDI,WorkHorse Sentinel 600khz,WorkHorse Sentinel 600khz,2014-10,Shore CyberPoP - Coastal Mooring Server,,Yes,
RS03CCAL-MJ03F-05-BOTPTA301,Central Caldera,03,CCAL,MJ (MP Jbox),03F,05,BOTPT,A,301,01,BOTPT Series A Sub 01,non-commercial,non-commercial BOTPT,non-commercial BOTPT,2014-07,Shore CyberPoP - Regional Observatory Management System,,,
RS03INT2-MJ03D-06-BOTPTA303,International District 2,03,INT2,MJ (MP Jbox),03D,06,BOTPT,A,303,01,BOTPT Series A Sub 01,non-commercial,non-commercial BOTPT,non-commercial BOTPT,2014-07,Shore CyberPoP - Regional Observatory Management System,,,
