Textbox8,tbToday
Series Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Series_Name,Attribute,AttributeValue
ADCPT,A,ADCPT Series A,CGSN MREFC Spares,
ADCPT,A,ADCPT Series A,CGSN O&M Spares,
ADCPT,A,ADCPT Series A,CGSN P/N,
ADCPT,A,ADCPT Series A,ClassLongName,Velocity_Profile_Short_Range
ADCPT,A,ADCPT Series A,Comments,
ADCPT,A,ADCPT Series A,CP Spares,
ADCPT,A,ADCPT Series A,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,A,ADCPT Series A,ECRs that changed the count,
ADCPT,A,ADCPT Series A,Global Spares,
ADCPT,A,ADCPT Series A,Instrument Configuration,
ADCPT,A,ADCPT Series A,Link to the Specification,
ADCPT,A,ADCPT Series A,Notes,
ADCPT,A,ADCPT Series A,PrimaryScienceDiscipline,P
ADCPT,A,ADCPT Series A,Produces Acoustic Interference,
ADCPT,A,ADCPT Series A,Ready for 2013?,
ADCPT,A,ADCPT Series A,RSN O&M Spares,
ADCPT,A,ADCPT Series A,RSN Part Number,
ADCPT,A,ADCPT Series A,Susceptible to Acoustic Interference,Yes
ADCPT,A,ADCPT Series A,"Vendor CLIN, SubCLIN or Model #",
ADCPT,B,ADCPT Series B,2009 Baseline Price*,"$38,625.00"
ADCPT,B,ADCPT Series B,2009 Deployed Instrument Count,18
ADCPT,B,ADCPT Series B,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,B,ADCPT Series B,CE Spares,
ADCPT,B,ADCPT Series B,CGSN MREFC Spares,
ADCPT,B,ADCPT Series B,CGSN O&M Spares,
ADCPT,B,ADCPT Series B,CGSN P/N,
ADCPT,B,ADCPT Series B,ClassLongName,Velocity_Profile_Short_Range
ADCPT,B,ADCPT Series B,Comments,
ADCPT,B,ADCPT Series B,CP Spares,
ADCPT,B,ADCPT Series B,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,B,ADCPT Series B,ECRs that changed the count,
ADCPT,B,ADCPT Series B,Global Spares,
ADCPT,B,ADCPT Series B,Instrument Configuration,
ADCPT,B,ADCPT Series B,Link to the Specification,
ADCPT,B,ADCPT Series B,Notes,
ADCPT,B,ADCPT Series B,PrimaryScienceDiscipline,P
ADCPT,B,ADCPT Series B,Produces Acoustic Interference,
ADCPT,B,ADCPT Series B,Ready for 2013?,
ADCPT,B,ADCPT Series B,RSN O&M Spares,
ADCPT,B,ADCPT Series B,RSN Part Number,
ADCPT,B,ADCPT Series B,Susceptible to Acoustic Interference,Yes
ADCPT,B,ADCPT Series B,"Vendor CLIN, SubCLIN or Model #",
ADCPT,C,ADCPT Series C,2009 Baseline Price*,"$38,625.00"
ADCPT,C,ADCPT Series C,2009 Deployed Instrument Count,18
ADCPT,C,ADCPT Series C,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,C,ADCPT Series C,CE Spares,
ADCPT,C,ADCPT Series C,CGSN MREFC Spares,
ADCPT,C,ADCPT Series C,CGSN O&M Spares,
ADCPT,C,ADCPT Series C,CGSN P/N,
ADCPT,C,ADCPT Series C,ClassLongName,Velocity_Profile_Short_Range
ADCPT,C,ADCPT Series C,Comments,
ADCPT,C,ADCPT Series C,CP Spares,
ADCPT,C,ADCPT Series C,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,C,ADCPT Series C,ECRs that changed the count,
ADCPT,C,ADCPT Series C,Global Spares,
ADCPT,C,ADCPT Series C,Instrument Configuration,
ADCPT,C,ADCPT Series C,Link to the Specification,
ADCPT,C,ADCPT Series C,Notes,
ADCPT,C,ADCPT Series C,PrimaryScienceDiscipline,P
ADCPT,C,ADCPT Series C,Produces Acoustic Interference,
ADCPT,C,ADCPT Series C,Ready for 2013?,
ADCPT,C,ADCPT Series C,RSN O&M Spares,
ADCPT,C,ADCPT Series C,RSN Part Number,
ADCPT,C,ADCPT Series C,Susceptible to Acoustic Interference,Yes
ADCPT,C,ADCPT Series C,"Vendor CLIN, SubCLIN or Model #",
ADCPT,D,ADCPT Series D,2009 Baseline Price*,"$38,625.00"
ADCPT,D,ADCPT Series D,2009 Deployed Instrument Count,18
ADCPT,D,ADCPT Series D,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,D,ADCPT Series D,CE Spares,
ADCPT,D,ADCPT Series D,CGSN MREFC Spares,
ADCPT,D,ADCPT Series D,CGSN O&M Spares,
ADCPT,D,ADCPT Series D,CGSN P/N,
ADCPT,D,ADCPT Series D,ClassLongName,Velocity_Profile_Short_Range
ADCPT,D,ADCPT Series D,Comments,
ADCPT,D,ADCPT Series D,CP Spares,
ADCPT,D,ADCPT Series D,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,D,ADCPT Series D,ECRs that changed the count,
ADCPT,D,ADCPT Series D,Global Spares,
ADCPT,D,ADCPT Series D,Instrument Configuration,
ADCPT,D,ADCPT Series D,Link to the Specification,
ADCPT,D,ADCPT Series D,Notes,
ADCPT,D,ADCPT Series D,PrimaryScienceDiscipline,P
ADCPT,D,ADCPT Series D,Produces Acoustic Interference,
ADCPT,D,ADCPT Series D,Ready for 2013?,
ADCPT,D,ADCPT Series D,RSN O&M Spares,
ADCPT,D,ADCPT Series D,RSN Part Number,
ADCPT,D,ADCPT Series D,Susceptible to Acoustic Interference,Yes
ADCPT,D,ADCPT Series D,"Vendor CLIN, SubCLIN or Model #",
ADCPT,E,ADCPT Series E,2009 Baseline Price*,"$38,625.00"
ADCPT,E,ADCPT Series E,2009 Deployed Instrument Count,18
ADCPT,E,ADCPT Series E,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,E,ADCPT Series E,CE Spares,
ADCPT,E,ADCPT Series E,CGSN MREFC Spares,
ADCPT,E,ADCPT Series E,CGSN O&M Spares,
ADCPT,E,ADCPT Series E,CGSN P/N,
ADCPT,E,ADCPT Series E,ClassLongName,Velocity_Profile_Short_Range
ADCPT,E,ADCPT Series E,Comments,
ADCPT,E,ADCPT Series E,CP Spares,
ADCPT,E,ADCPT Series E,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,E,ADCPT Series E,ECRs that changed the count,
ADCPT,E,ADCPT Series E,Global Spares,
ADCPT,E,ADCPT Series E,Instrument Configuration,
ADCPT,E,ADCPT Series E,Link to the Specification,
ADCPT,E,ADCPT Series E,Notes,
ADCPT,E,ADCPT Series E,PrimaryScienceDiscipline,P
ADCPT,E,ADCPT Series E,Produces Acoustic Interference,
ADCPT,E,ADCPT Series E,Ready for 2013?,
ADCPT,E,ADCPT Series E,RSN O&M Spares,
ADCPT,E,ADCPT Series E,RSN Part Number,
ADCPT,E,ADCPT Series E,Susceptible to Acoustic Interference,Yes
ADCPT,E,ADCPT Series E,"Vendor CLIN, SubCLIN or Model #",
ADCPT,F,ADCPT Series F,2009 Baseline Price*,"$38,625.00"
ADCPT,F,ADCPT Series F,2009 Deployed Instrument Count,18
ADCPT,F,ADCPT Series F,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,F,ADCPT Series F,CE Spares,
ADCPT,F,ADCPT Series F,CGSN MREFC Spares,
ADCPT,F,ADCPT Series F,CGSN O&M Spares,
ADCPT,F,ADCPT Series F,CGSN P/N,
ADCPT,F,ADCPT Series F,ClassLongName,Velocity_Profile_Short_Range
ADCPT,F,ADCPT Series F,Comments,
ADCPT,F,ADCPT Series F,CP Spares,
ADCPT,F,ADCPT Series F,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,F,ADCPT Series F,ECRs that changed the count,
ADCPT,F,ADCPT Series F,Global Spares,
ADCPT,F,ADCPT Series F,Instrument Configuration,
ADCPT,F,ADCPT Series F,Link to the Specification,
ADCPT,F,ADCPT Series F,Notes,
ADCPT,F,ADCPT Series F,PrimaryScienceDiscipline,P
ADCPT,F,ADCPT Series F,Produces Acoustic Interference,
ADCPT,F,ADCPT Series F,Ready for 2013?,
ADCPT,F,ADCPT Series F,RSN O&M Spares,
ADCPT,F,ADCPT Series F,RSN Part Number,
ADCPT,F,ADCPT Series F,Susceptible to Acoustic Interference,Yes
ADCPT,F,ADCPT Series F,"Vendor CLIN, SubCLIN or Model #",
ADCPT,G,ADCPT Series G,2009 Baseline Price*,"$38,625.00"
ADCPT,G,ADCPT Series G,2009 Deployed Instrument Count,18
ADCPT,G,ADCPT Series G,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,G,ADCPT Series G,CE Spares,
ADCPT,G,ADCPT Series G,CGSN MREFC Spares,
ADCPT,G,ADCPT Series G,CGSN O&M Spares,
ADCPT,G,ADCPT Series G,CGSN P/N,
