Textbox8,tbToday
Site Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Site,Site_Name,Attribute,AttributeValue
GS05,55S (Southern) Mobile Asset,First Deployment Date,2014-12
GS05,55S (Southern) Mobile Asset,latitude,
GS05,55S (Southern) Mobile Asset,longitude,
GS05,55S (Southern) Mobile Asset,Platform Agent Type,
GS05,55S (Southern) Mobile Asset,Relative Depth,
RS01,Hydrate Ridge,depth_port_max,
RS01,Hydrate Ridge,depth_port_min,
RS01,Hydrate Ridge,depth_subsite,
RS01,Hydrate Ridge,First Deployment Date,2014-07
RS01,Hydrate Ridge,latitude,
RS01,Hydrate Ridge,longitude,
RS01,Hydrate Ridge,Platform Agent Type,
RS01,Hydrate Ridge,Relative Depth,
RS03,Axial,depth_port_max,
RS03,Axial,depth_port_min,
RS03,Axial,depth_subsite,
RS03,Axial,First Deployment Date,2014-07
RS03,Axial,latitude,
RS03,Axial,longitude,
RS03,Axial,Platform Agent Type,
RS03,Axial,Relative Depth,

