Textbox8,tbToday
Data QC Lookup Tables (With DP Levels),Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LArray_PublicID,SClass_PublicID,ReferenceDesignator,Data_Product_With_Level
CE,ADCPT,CE02SHBP-LJ01D-05-ADCPTB104,VELPROF (L0)
CE,ADCPT,CE02SHBP-LJ01D-05-ADCPTB104,VELPROF (L1)
CE,ADCPT,CE02SHBP-LJ01D-05-ADCPTB104,WAVSTAT (L0)
CE,ADCPT,CE02SHBP-LJ01D-05-ADCPTB104,WAVSTAT (L2)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,CONDWAT (L0)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,CONDWAT (L1)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,DENSITY (L2)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,PRACSAL (L2)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,PRESWAT (L0)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,PRESWAT (L1)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,TEMPWAT (L0)
CE,CTDBP,CE02SHBP-LJ01D-06-CTDBPN106,TEMPWAT (L1)
CE,DOSTA,CE02SHBP-LJ01D-06-DOSTAD106,DOCONCS (L0)
CE,DOSTA,CE02SHBP-LJ01D-06-DOSTAD106,DOXYGEN (L2)
CE,DOSTA,CE02SHBP-LJ01D-06-DOSTAD106,DOCONCS (L1)
CE,VEL3D,CE02SHBP-LJ01D-07-VEL3DC108,VELPTMN (L0)
CE,VEL3D,CE02SHBP-LJ01D-07-VEL3DC108,VELPTMN (L1)
CE,VEL3D,CE02SHBP-LJ01D-07-VEL3DC108,VELPTTU (L0)
CE,VEL3D,CE02SHBP-LJ01D-07-VEL3DC108,VELPTTU (L1)
CE,OPTAA,CE02SHBP-LJ01D-08-OPTAAD106,OPTABSN (L2)
CE,OPTAA,CE02SHBP-LJ01D-08-OPTAAD106,OPTATTN (L2)
CE,OPTAA,CE02SHBP-LJ01D-08-OPTAAD106,OPTCREF (L0)
CE,OPTAA,CE02SHBP-LJ01D-08-OPTAAD106,OPTCSIG (L0)
CE,OPTAA,CE02SHBP-LJ01D-08-OPTAAD106,OPTTEMP (L0)
CE,OPTAA,CE02SHBP-LJ01D-08-OPTAAD106,OPTAREF (L0)
CE,OPTAA,CE02SHBP-LJ01D-08-OPTAAD106,OPTASIG (L0)
CE,PCO2W,CE02SHBP-LJ01D-09-PCO2WB103,CO2ABS1 (L0)
CE,PCO2W,CE02SHBP-LJ01D-09-PCO2WB103,CO2ABS2 (L0)
CE,PCO2W,CE02SHBP-LJ01D-09-PCO2WB103,CO2THRM (L0)
CE,PCO2W,CE02SHBP-LJ01D-09-PCO2WB103,PCO2WAT (L1)
CE,PHSEN,CE02SHBP-LJ01D-10-PHSEND103,ABSTHRM (L0)
CE,PHSEN,CE02SHBP-LJ01D-10-PHSEND103,PH434SI (L0)
CE,PHSEN,CE02SHBP-LJ01D-10-PHSEND103,PH578SI (L0)
CE,PHSEN,CE02SHBP-LJ01D-10-PHSEND103,PHWATER (L1)
CE,HYDBB,CE02SHBP-LJ01D-11-HYDBBA106,HYDAPBB (L0)
CE,HYDBB,CE02SHBP-LJ01D-11-HYDBBA106,HYDAPBB (L1)
